word	corpus_count	ipa	source	confidence	other_reading	phonetic_respelling
עולם	116	ˈɔjləm	lexicon	HIGH		
געזען	115	ɡəzˈejn	lexicon	HIGH		
מיינט	115	majnt	lexicon	HIGH		
לאמיר	114	lˈɔmir	lexicon	HIGH		
אפילו	110	afˈilə	lexicon	HIGH		
ווארט	110	vɔrt	lexicon	HIGH		
וילך	109	vaˈajiləx	printed-index	MED	ɔjlx	וואַייילעך
אדער	108	ˈɔdər	lexicon	HIGH		
מאל	108	mul	lexicon	HIGH		
טוב	106	tɔjv	lexicon	HIGH		
טעג	106	tejɡ	lexicon	HIGH		
צוריק	105	ʦirˈik	lexicon	HIGH		
טאקע	104	tˈakə	lexicon	HIGH		
אידישע	103	jˈidiʃə	lexicon	HIGH		
געוואלט	103	ɡəvˈɔlt	lexicon	HIGH		
הייסט	103	hajst	lexicon	HIGH		
ראש	102	rɔjʃ	lexicon	HIGH		
געגאנגען	101	ɡəɡˈanɡən	lexicon	HIGH		
האסט	101	hust	lexicon	HIGH		
וויאזוי	101	vizˈɔj	lexicon	HIGH		
לעבן	101	lejbn	lexicon	HIGH		
דריי	99	draj	lexicon	HIGH		
דעמאלטס	98	dˈɛmalʦ	rule	LOW		
זען	98	zejn	lexicon	HIGH		
איר	97	ir	lexicon	HIGH		
הייליגער	97	hˈajliɡər	rule	MED		
ווערן	97	virn	lexicon	HIGH		
אביסל	96	abˈisl	lexicon	HIGH		
אויפ'ן	96	afn	rule	LOW		
איבער	96	ˈibər	lexicon	HIGH		
ווייסט	95	vajst	lexicon	HIGH		
געקומען	94	ɡəkˈimən	lexicon	HIGH		
געבן	93	ɡejbn	lexicon	HIGH		
ווייס	93	vajs	lexicon	HIGH		
מ'זאל	93	mzul	rule	MED		
געגעבן	92	ɡəɡˈɛbn	lexicon	HIGH		
כי	92	ki	lexicon	HIGH		
משה	92	mˈɔjʃə	lexicon	HIGH		
ארויס	91	arˈoʊs	lexicon	HIGH		
ביז	91	biz	lexicon	HIGH		
געקענט	91	ɡəkˈɛnt	lexicon	HIGH		
ווער	91	vɛr	lexicon	HIGH		
וועל	90	vɛl	lexicon	HIGH		
גיי	89	ɡaj	lexicon	HIGH		
יעדן	89	jejdn	lexicon	HIGH		
מענטשן	89	mɛnʧn	lexicon	HIGH		
ס'האט	89	səhˈut	lexicon	HIGH		
חתונה	88	xˈasənə	lexicon	HIGH	xˈasənə	כאַסענע
יעדע	88	jˈɛdə	lexicon	HIGH		
ישיבה	88	jəʃˈivə	lexicon	HIGH		
נאכדעם	88	nuxdˈejm	lexicon	HIGH		
לערנען	87	lˈirnən	lexicon	HIGH		
גרויסע	84	ɡrˈɔjsə	lexicon	HIGH		
זאלן	84	zɔln	lexicon	HIGH		
אלול	83	ˈɛləl	printed-index	MED	ˈalil	עלעל
גוטע	83	ɡˈitə	lexicon	HIGH		
דיין	83	daːn	lexicon	HIGH		
נעמען	83	nˈɛmən	lexicon	HIGH		
רעדן	83	rɛdn	lexicon	HIGH		
גמרא	82	ɡəmˈurə	lexicon	HIGH		
סאו	82	sɔ	lexicon	HIGH		
וועלן	81	vɛln	lexicon	HIGH		
טוט	81	tit	lexicon	HIGH		
מאכט	81	maxt	lexicon	HIGH		
ממש	81	mˈamiʃ	lexicon	HIGH		
אייבערשטן	80	ˈajbərʃtn	rule	LOW		
ס'שטייט	80	sʃtajt	rule	MED		
דורך	79	dˈɔrəx	lexicon	HIGH		
קינד	79	kind	lexicon	HIGH		
ווייטער	78	vˈaːtər	lexicon	HIGH		
ס'זאל	78	szul	rule	MED		
שעה	78	ʃu	lexicon	HIGH		
געלט	77	ɡɛlt	lexicon	HIGH		
של	77	ʃɛl	lexicon	HIGH		
איראן	76	irˈan	lexicon	HIGH		
ביים	76	bam	lexicon	HIGH		
וויסן	76	visn	lexicon	HIGH		
זי	76	zi	lexicon	HIGH		
דיך	75	dix	lexicon	HIGH		
אוועק	74	avˈɛk	lexicon	HIGH		
וועג	74	vejɡ	lexicon	HIGH		
פלעגט	74	flɛɡt	rule	LOW		
גארנישט	73	ɡˈurniʃt	lexicon	HIGH		
געהערט	73	ɡəhˈirt	lexicon	HIGH		
מ'גייט	73	mɡajt	rule	MED		
מארגן	73	mɔrɡn	lexicon	HIGH		
רבינו	73	rbˈini	rule	MED		
מורא'דיגע	72	mˈiradiɡə	rule	LOW		
ס'וועט	72	svɛt	rule	MED		
השם	71	haʃˈɛm	lexicon	HIGH		
וואלט	71	vɔlt	lexicon	HIGH		
וועלט	71	vɛlt	lexicon	HIGH		
פרעזידענט	71	prəzidˈɛnt	lexicon	HIGH		
פנים	70	pˈunəm	lexicon	HIGH		
אה	69	a	rule	LOW		
אמעריקע	69	amˈɛrikə	lexicon	HIGH		
ברוך	69	bˈurəx	lexicon	HIGH		
שפעטער	69	ʃpˈejtər	lexicon	HIGH		
ווערט	68	virt	lexicon	HIGH		
הונדערט	67	hˈindərt	rule	MED		
מיט'ן	67	mitn	rule	MED		
פלאץ	67	plaːʦ	lexicon	HIGH		
אזעלכע	66	azˈɛlxə	rule	LOW		
יארן	66	jurn	lexicon	HIGH		
פסוק	66	pˈusik	lexicon	HIGH	pˈusək	פּאָסעק
ארץ	65	ˈɛrəʦ	lexicon	HIGH		
ברענגט	65	brɛnɡt	lexicon	HIGH		
בעל	64	baːl	lexicon	HIGH		
מ'איז	64	miz	rule	MED		
פאר'ן	64	farn	rule	LOW		
טראמפ	63	trɔmp	lexicon	HIGH		
גאולה	62	ɡˈulə	lexicon	MED		
ווערטער	62	vˈɛrtər	lexicon	HIGH		
ולא	62	ˈila	rule	LOW		
ניגון	62	niɡn	printed-index	MED	nˈiɡin	ניגן
אנגעהויבן	61	ˈunɡəhɔjbn	lexicon	HIGH		
אפאר	61	apˈur	lexicon	HIGH		
גייען	61	ɡˈajən	lexicon	HIGH		
געטון	61	ɡətˈin	rule	MED		
גערעדט	61	ɡərˈɛt	lexicon	HIGH		
הרע	61	hrə	rule	MED		
נאכמיטאג	61	nˈaxmitaɡ	rule	LOW		
ס'גייט	61	sɡajt	rule	MED		
היום	60	hˈaːəm	printed-index	MED	hjim	הײַעם
וויפיל	60	vˈifil	lexicon	HIGH		
חודש	60	xˈɔjdəʃ	lexicon	HIGH		
דאווענען	59	dˈavənən	rule	LOW		
הויז	59	hoʊz	lexicon	HIGH		
מיך	59	mix	lexicon	HIGH		
אזויפיל	58	ˈazɔjfil	rule	LOW		
אפשר	58	ˈɛfʃir	lexicon	HIGH		
את	58	ɛs	lexicon	HIGH		
יצר	58	iʦr	rule	MED		
תפילין	58	tfiln	printed-index	MED	tfiln	טפֿילן
מלך	57	mˈajləx	lexicon	HIGH		
נייע	57	nˈaːjə	lexicon	HIGH		
פונעם	57	fˈinəm	lexicon	HIGH		
שיינע	57	ʃˈajnə	lexicon	HIGH		
ארום	56	arˈim	lexicon	HIGH		
באשעפער	56	baʃˈɛfər	lexicon	HIGH		
בן	56	bɛn	lexicon	HIGH		
זעט	56	zejt	lexicon	HIGH		
לשון	56	luʃn	printed-index	MED	lʃin	לאָשן
אנגעקומען	55	ˈunɡəkimən	rule	MED		
בו	55	bi	rule	MED		
געדענק	55	ɡədˈɛnk	rule	MED		
האנט	55	hant	rule	LOW		
יענער	55	jˈɛnər	rule	MED		
ערשטע	55	ˈɛrʃtə	lexicon	HIGH		
ארויף	54	arˈoʊf	lexicon	HIGH		
שאלה	54	ʃˈaːlə	lexicon	HIGH		
ביסט	53	bist	lexicon	HIGH		
געזונט	53	ɡəzˈint	rule	MED		
געשען	53	ɡəʃˈɛn	rule	MED		
מדינת	53	mdˈinas	rule	LOW		
צען	53	ʦɛn	rule	MED		
אכט	52	axt	rule	LOW		
לעצטע	52	lˈɛʦtə	lexicon	HIGH		
מ'וועט	52	mvɛt	rule	MED		
מינוט	52	minˈit	lexicon	HIGH		
איי	51	aj	rule	LOW		
געדארפט	51	ɡədˈarft	lexicon	HIGH		
געפרעגט	51	ɡəfrˈɛɡt	rule	LOW		
הייליגן	51	hˈajliɡn	rule	MED		
סתם	51	stam	lexicon	HIGH		
פארציילט	51	farʦˈajlt	rule	LOW		
זיינע	50	zˈaːnə	lexicon	HIGH		
מין	50	min	rule	MED		
געוואוסט	49	ɡəvˈist	rule	LOW		
הקדוש	49	hakˈudəʃ	printed-index	MED	hkdiʃ	האַקאָדעש
צדיק	49	ʦˈadik	lexicon	HIGH		
צדיקים	49	ʦdˈikim	rule	MED		
"רש""י"	49	rˈaʃi	lexicon	LOW		
שטיקל	49	ʃtikl	rule	MED		
שלום	49	ʃˈuləm	lexicon	HIGH		
אמעריקאנער	48	amərˈikanər	lexicon	HIGH		
בחור	48	bˈuxər	lexicon	HIGH		
גענומען	48	ɡənˈimən	lexicon	HIGH		
מ'זאגט	48	mzuɡt	rule	MED		
צוזאמען	48	ʦizˈamən	lexicon	HIGH		
גוי	47	ɡɔj	printed-index	MED	ɡɔj	גוי
גלות	47	ɡˈuləs	lexicon	HIGH		
זאג	47	zuɡ	lexicon	HIGH		
זמן	47	zman	lexicon	HIGH	zman	זמאַן
שרייבט	47	ʃraːbt	lexicon	HIGH		
אליין	46	alˈajn	lexicon	HIGH		
וועלכע	46	vˈɛlxə	lexicon	HIGH		
חיים	46	xˈajim	lexicon	HIGH		
מצוה	46	mˈiʦvə	lexicon	HIGH		
פינף	46	finf	rule	LOW		
פרעגט	46	frɛɡt	rule	LOW		
פרעגן	46	frɛɡn	rule	LOW		
קענסט	46	kɛnst	lexicon	HIGH		
שלמה	46	ʃlˈɔjmə	lexicon	HIGH	ʃlˈɔjmə	שלוימע
תשובה	46	ʧˈivə	lexicon	HIGH	ʧˈivə	טשוּווע
אקעי	45	ˈɔkaj	lexicon	HIGH		
ברכה	45	brˈuxə	lexicon	HIGH		
המקדש	45	hamˈikduʃ	rule	LOW		
טו	45	ti	rule	MED		
יענע	45	jˈɛnə	lexicon	HIGH		
פרשת	45	pˈarʃis	lexicon	HIGH		
צווישן	45	ʦviʃn	lexicon	HIGH		
שיין	45	ʃajn	lexicon	HIGH		
בכל	44	bxul	rule	LOW		
המדרש	44	hamˈidruʃ	rule	LOW		
העלפן	44	hɛlfn	lexicon	HIGH		
השנה	44	haʃˈunə	rule	LOW		
זוכה	44	zˈixə	rule	MED		
ספר	44	sˈajfər	lexicon	HIGH		
קינדערלעך	44	kˈindərləx	rule	MED		
אזייגער	43	ˈazajɡər	rule	LOW		
אפ	43	ɔp	lexicon	HIGH		
הארץ	43	harʦ	lexicon	HIGH		
יענעם	43	jˈɛnəm	rule	MED		
לאנג	43	laːnɡ	lexicon	HIGH		
נאמען	43	nˈumən	lexicon	HIGH		
נו	43	ni	rule	MED		
עסן	43	ɛsn	lexicon	HIGH		
פיר	43	fir	rule	LOW		
אינטערעסאנט	42	intərəsˈant	rule	LOW		
הרב	42	harˈaːv	lexicon	HIGH		
ווייסן	42	vajsn	rule	MED		
זון	42	zin	rule	MED		
מ'רעדט	42	mrɛdt	rule	MED		
קודם	42	kˈɔjdəm	lexicon	HIGH		
רגע	42	rˈɛɡə	lexicon	HIGH	rˈɛɡə	רעגע
אלס	41	ˈalis	lexicon	HIGH		
אראפ	41	arˈup	lexicon	HIGH		
ארבעט	41	ˈarbət	lexicon	HIGH		
ביינאכט	41	bˈajnaxt	rule	LOW		
געבט	41	ɡɛbt	rule	MED		
האלט	41	halt	lexicon	HIGH		
ירושלים	41	jəruʃulˈajim	lexicon	HIGH		
כלל	41	klal	lexicon	HIGH		
לברכה	41	livrˈuxə	lexicon	HIGH		
מה	41	mɛ	rule	LOW		
מלחמה	41	milxˈumə	lexicon	HIGH		
נאכאמאל	41	nˈuxamul	lexicon	HIGH		
ס'קומט	41	skimt	rule	MED		
קול	41	kul	lexicon	HIGH		
רבי'ן	41	rbin	rule	MED		
שטארק	41	ʃtark	lexicon	HIGH		
תהלים	41	təhˈilim	rule	LOW		
אמת	40	ˈɛməs	lexicon	HIGH		
אשר	40	ˈuʃər	printed-index	MED	aʃr	אָשער
גלייך	40	ɡlaːx	lexicon	HIGH		
דאנערשטאג	40	dˈanərʃtaɡ	rule	LOW		
הייליגע	40	hˈajliɡə	lexicon	HIGH		
הערן	40	hirn	lexicon	HIGH		
ימי	40	jˈɛmaj	printed-index	MED	ˈimi	יעמיי
לו	40	li	rule	MED		
שמחה	40	sˈimxə	lexicon	HIGH		
איינס	39	ajns	lexicon	HIGH		
דארפן	39	daːfn	lexicon	HIGH		
דוד	39	dˈuvid	printed-index	MED	did	דאָוויד
האסטו	39	hˈusti	lexicon	HIGH		
מיטוואך	39	mˈitvɔx	rule	MED		
פשוט	39	pˈuʃit	lexicon	HIGH		
רבותי	39	rabˈɔjsaj	rule	LOW		
רבנים	39	rˈabunim	lexicon	HIGH		
אוודאי	38	avˈadə	lexicon	HIGH	avˈadə	אַוואַדע
אטאקעס	38	ˈatakəs	rule	LOW		
בר	38	bar	rule	LOW		
הוא	38	hˈia	rule	LOW		
לויט	38	loʊt	lexicon	HIGH		
מאמע	38	mˈamə	rule	LOW		
נייעס	38	nˈaːjəs	lexicon	HIGH		
עד	38	ɛd	rule	MED		
קיינמאל	38	kˈajnmul	lexicon	HIGH		
שיעור	38	ʃˈiər	printed-index	MED	ʃˈiəir	שי*ער
אונטער	37	ˈintər	lexicon	HIGH		
דינסטאג	37	dˈinstaɡ	rule	LOW		
נעמט	37	nɛmt	lexicon	HIGH		
פארשטייט	37	farʃtˈajt	lexicon	HIGH		
קעגן	37	kejɡn	lexicon	HIGH		
בקיצור	36	bˈɛkiʦər	lexicon	HIGH	bˈɛkiʦər	בעקיצער
גאנץ	36	ɡanʦ	lexicon	HIGH		
מאיר	36	mˈajər	lexicon	HIGH		
משיח	36	mˈuʃiəx	lexicon	HIGH		
נעבעך	36	nˈɛbəx	rule	MED		
איינעם	35	ˈajnəm	lexicon	HIGH		
אלעמאל	35	ˈaləmal	rule	LOW		
גאר	35	ɡur	lexicon	HIGH		
דאלאר	35	dˈɔlar	lexicon	HIGH		
וועסט	35	vɛst	rule	MED		
"חז""ל"	35	xazˈal	lexicon	LOW		
יארצייט	35	jˈurʦajt	lexicon	MED		
למעשה	35	ləmˈaːsə	lexicon	HIGH		
נאכט	35	naxt	lexicon	HIGH		
עלינו	35	ulˈajni	printed-index	MED	ˈɛlini	אָליינו
ראשי	35	rˈuʃi	lexicon	MED		
שטאט	35	ʃtut	lexicon	MED		
"שליט""א"	35	ʃlˈitə	lexicon	HIGH		
איינמאל	34	ˈajnmul	lexicon	HIGH		
אינמיטן	34	ˈinmitn	lexicon	HIGH		
אל	34	al	rule	LOW		
טאטן	34	tatn	rule	LOW		
טובה	34	tˈɔjvə	printed-index	MED	tˈibə	טויווע
מורא	34	mˈɔjrə	printed-index	MED	mˈira	מוירע
נקודה	34	nəkˈidə	printed-index	MED	nkˈidə	נעקודע
סוף	34	sɔf	lexicon	HIGH		
פרישע	34	frˈiʃə	lexicon	HIGH		
פשט	34	pʃat	lexicon	HIGH		
קוק	34	kik	rule	MED		
קעניג	34	kˈɛniɡ	rule	MED		
שווער	34	ʃvir	lexicon	HIGH		
אוי	33	ɔj	lexicon	HIGH		
אונזער	33	ˈinzər	lexicon	HIGH		
אלקיך	33	ˈalkix	rule	LOW		
בני	33	bnaj	lexicon	HIGH		
ברענגען	33	brˈejnɡən	lexicon	HIGH		
זייט	33	zaːt	lexicon	HIGH		
זעלבע	33	zˈɛlbə	lexicon	HIGH		
טרעפן	33	trɛfn	lexicon	HIGH		
מורא'דיג	33	mˈiradiɡ	rule	LOW		
מן	33	min	lexicon	HIGH		
צוואנציג	33	ʦvˈanʦiɡ	rule	LOW		
איינע	32	ˈajnə	lexicon	HIGH		
אלף	32	alf	rule	LOW		
באקומען	32	bakˈimən	lexicon	HIGH		
בעט	32	bɛt	lexicon	HIGH		
געטראפן	32	ɡətrˈafn	rule	LOW		
וואכן	32	vɔxn	lexicon	HIGH		
וואסער	32	vˈasər	lexicon	HIGH		
מ'זעט	32	mzejt	rule	MED		
מ'טאר	32	mtur	rule	MED		
נעם	32	nɛm	rule	MED		
אליינס	31	alˈajns	lexicon	HIGH		
אם	31	im	printed-index	MED	am	אים
באאמטע	31	baˈamtə	rule	LOW		
בכלל	31	bəxlˈaːl	lexicon	HIGH		
גרייט	31	ɡrajt	lexicon	HIGH		
פארן	31	farn	lexicon	HIGH		
פארק	31	park	lexicon	HIGH		
רעדט	31	rɛdt	lexicon	HIGH		
שמועס	31	ʃmˈiəs	lexicon	HIGH		
אויכעט	30	ˈɔjxət	rule	LOW		
אמר	30	ˈumar	printed-index	MED	amr	אָמאַר
אני	30	ˈani	rule	LOW		
אריבער	30	arˈibər	lexicon	HIGH		
געב	30	ɡɛb	rule	MED		
דיינע	30	dˈaːnə	lexicon	HIGH		
הייבט	30	hajbt	rule	MED		
ווילסט	30	vilst	rule	MED		
זאלסט	30	zulst	lexicon	HIGH		
זיכער	30	zˈixər	lexicon	HIGH		
לך	30	ləxˈu	rule	LOW		
מוסר	30	misr	rule	MED		
פריער	30	frˈiər	rule	LOW		
פרשה	30	pˈarʃə	lexicon	HIGH	pˈarʃə	פּאַרשע
צווייטע	30	ʦvˈajtə	lexicon	HIGH		
אחד	29	ˈɛxud	rule	LOW		
אלא	29	ˈala	rule	LOW		
אמן	29	ˈumajn	printed-index	MED	amn	אָמיין
ארבעטן	29	ˈarbətn	lexicon	HIGH		
ברכות	29	brˈuxəs	lexicon	HIGH		
געכאפט	29	ɡəxˈapt	lexicon	HIGH		
דערציילט	29	dərʦˈajlt	rule	MED		
חשבון	29	xˈɛʃbɔjn	rule	LOW		
לייגן	29	lajɡn	lexicon	HIGH		
מוז	29	miz	lexicon	HIGH		
מכבד	29	mxˈabajd	rule	LOW		
נאנט	29	nant	rule	LOW		
ס'קען	29	skɛn	rule	MED		
פרוי	29	frɔj	rule	LOW		
קויפן	29	kɔjfn	lexicon	HIGH		
קיינער	29	kˈajnər	lexicon	HIGH		
רבונו	29	rbˈini	rule	MED		
שול	29	ʃil	rule	MED		
תיבות	29	tˈajvɔjs	rule	LOW		
ווייסטו	28	vˈajsti	rule	MED		
יוי	28	jɔj	rule	MED		
ניו	28	nju	lexicon	HIGH		
סליחות	28	slˈixis	rule	LOW		
עבודה	28	avˈɔjdə	lexicon	HIGH	avˈɔjdə	אַוווידע
קוקט	28	kikt	lexicon	HIGH		
שידוך	28	ʃˈidəx	lexicon	HIGH	ʃˈidəx	שידעך
אלץ	27	alʦ	lexicon	HIGH		
גוים	27	ɡɔjm	rule	MED		
זיצונג	27	zˈiʦinɡ	rule	MED		
חתן	27	xusn	lexicon	HIGH	xusn	כאָסן
מ'האלט	27	mhalt	rule	MED		
מיליאן	27	miljˈɔn	lexicon	HIGH		
ענין	27	ˈinjən	lexicon	HIGH	ˈiniən	איניען
פאריגע	27	furˈiɡə	lexicon	MED		
קליינע	27	klˈajnə	lexicon	HIGH		
איבערבעטן	26	ˈibərbejtn	rule	MED		
אינטערעסאנטע	26	ˈintərəsantə	rule	LOW		
אנקומען	26	ˈunkimən	rule	MED		
בארא	26	barˈa	rule	LOW		
געשיקט	26	ɡəʃˈikt	rule	MED		
האלטן	26	haltn	lexicon	HIGH		
יעקב	26	jˈankəv	lexicon	HIGH		
לי	26	li	rule	MED		
לייגט	26	lajɡt	lexicon	HIGH		
סאטמארער	26	sˈatmarər	rule	LOW		
פי	26	pi	lexicon	MED		
קום	26	kim	rule	MED		
רופט	26	rift	lexicon	HIGH		
אריינגעקומען	25	arˈaːnɡəkimən	rule	MED		
בחורים	25	buxˈirim	lexicon	HIGH		
בלעם	25	bˈiləm	printed-index	MED	blɛm	בילעם
געהאלטן	25	ɡəhˈaltn	rule	MED		
גרעסטע	25	ɡrˈɛstə	rule	MED		
הויזן	25	hɔjzn	rule	MED		
יהושע	25	jəhˈɔjʃiə	lexicon	HIGH		
יונתן	25	jɔjnˈusun	rule	LOW		
כיפור	25	xifˈir	rule	LOW		
לאזט	25	lɔzt	lexicon	HIGH		
לערנט	25	lirnt	lexicon	HIGH		
ממילא	25	mˈɛmajlə	lexicon	HIGH	mimˈajlə	מימיילע
מתנה	25	matˈunə	rule	LOW		
נעכטן	25	nɛxtn	rule	MED		
ענדיגן	25	ˈɛndiɡn	rule	MED		
פארדעם	25	fardˈejm	rule	MED		
פיין	25	faːn	lexicon	HIGH		
צרות	25	ʦˈurɔjs	rule	LOW		
קאפיטל	25	kˈapitl	lexicon	MED		
שטוב	25	ʃtib	rule	MED		
באזוך	24	bazˈix	rule	LOW		
גייסט	24	ɡajst	lexicon	HIGH		
געהייסן	24	ɡəhˈajsn	rule	MED		
געוואלדיגע	24	ɡəvˈaldiɡə	rule	LOW		
געלאזט	24	ɡəlˈɔzt	rule	MED		
החיים	24	haxˈajim	rule	LOW		
חדשים	24	xadˈuʃim	lexicon	HIGH		
חלק	24	xˈajlək	lexicon	HIGH		
כדי	24	kədˈaj	lexicon	HIGH		
משפחה	24	miʃpˈuxə	lexicon	HIGH		
פונקט	24	pinkt	lexicon	HIGH		
פייער	24	fˈajər	rule	LOW		
פערציג	24	fˈɛrʦiɡ	rule	LOW		
צוביסלעך	24	ʦˈibisləx	rule	MED		
שטעלט	24	ʃtɛlt	rule	MED		
תהיה	24	tˈihjɛ	rule	LOW		
תם	24	tam	printed-index	MED	tam	טאַם
אונזערע	23	ˈinzərə	rule	LOW		
אור	23	ɔjr	printed-index	MED	ir	אויר
איראנער	23	irˈanər	rule	LOW		
באקאנט	23	bakˈant	rule	LOW		
בוקר	23	bikr	rule	MED		
בעטן	23	bejtn	lexicon	HIGH		
גאון	23	ɡˈuən	printed-index	MED	ɡin	גאָען
געבעטן	23	ɡəbˈejtn	rule	MED		
געדענקען	23	ɡədˈɛnkən	rule	MED		
גערופן	23	ɡərˈifn	rule	MED		
דערמאנען	23	dərmˈanən	rule	LOW		
הענט	23	hɛnt	rule	MED		
זכרונו	23	zxrˈini	rule	MED		
זעקס	23	zɛks	rule	MED		
טויזנט	23	toʊznt	lexicon	HIGH		
