word	layer	clips	chezky_readings	agreement	heard_readings (reading:count)
יעצט	G	718	j ɛ ʦ t	100%	j ɛ ʦ t:717; j ə ʦ t:1
מעשה	L	712	m aː s ə | m aj s ə	87%	m aj s ə:616; m a s ə:32; m u s ə:19; m u s ɛ:14; m a s ɛ:14; m aj s ɛ:12; m ej s ə:3; m ɔ s ə:2
געהאט	G	710	ɡ ə h a t	80%	ɡ ə h a t:565; ɡ ɛ h u t:45; ɡ ɛ h a t:38; ɡ ə h u t:26; ɡ ɛ h ɔ t:17; ɡ ə h ɔ t:17; ɡ ə h aː t:2
גיין	G	705	ɡ aj n	94%	ɡ aj n:663; ɡ ej n:41; ɡ aː n:1
ווארט	G	704	v ɔ r t	94%	v ɔ r t:661; v u r t:23; v a r t:20
מאל	G	701	m u l | m ɔ l	89%	m u l:612; m i l:46; m a l:28; m ɔ l:13; m aː l:2
זי	G	688	z i	89%	z i:611; z u:77
זאכן	G	681	z a x n	94%	z a x n:639; z u x n:22; z aː x n:19; z ɔ x n:1
איינער	G	677	aj n ə r	90%	aj n ə r:608; aj n ɛ r:58; ej n ə r:6; aː n ɛ r:2; ej n ɛ r:2; aː n ə r:1
מענטשן	G	675	m ɛ n ʧ n	100%	m ɛ n ʧ n:674; m ə n ʧ n:1
טאקע	G	664	t a k ə	97%	t a k ə:642; t u k ɛ:8; t u k ə:7; t a k ɛ:5; t ɔ k ɛ:1; t ɔ k ə:1
מיינט	G	662	m aj n t	100%	m aj n t:660; m ej n t:2
אריין	G	660	a r aː n | a r aj n	87%	a r aj n:575; a r u n:34; a r a n:33; u r aj n:5; a r ej n:4; aː r aj n:2; ɔ r u n:2; u r ej n:2
הייסט	G	658	h aj s t	100%	h aj s t:656; h ej s t:2
געגאנגען	G	655	ɡ ə ɡ a n ɡ ə n	81%	ɡ ə ɡ a n ɡ ə n:531; ɡ ə ɡ a n ɡ ɛ n:30; ɡ ə ɡ u n ɡ ə n:23; ɡ ɛ ɡ u n ɡ ə n:17; ɡ ɛ ɡ a n ɡ ə n:17; ɡ ɛ ɡ u n ɡ ɛ n:9; ɡ ə ɡ u n ɡ ɛ n:7; ɡ ə ɡ ɔ n ɡ ə n:5
מאכן	G	652	m a x n	95%	m a x n:617; m u x n:19; m ɔ x n:14; m aː x n:2
געווארן	G	642	ɡ ə v ɔ r n	86%	ɡ ə v ɔ r n:555; ɡ ə v a r n:36; ɡ ɛ v u r n:14; ɡ ɛ v a r n:14; ɡ ɛ v ɔ r n:11; ɡ ə v u r n:10; ɡ ɛ v aː r n:1; ɡ ə v aː r n:1
מאכט	G	632	m a x t	90%	m a x t:569; m ɔ x t:33; m u x t:30
ווייל	G	629	v aː l | v aj l	84%	v aj l:530; v u l:49; v a l:34; v ɔ l:15; v ej l:1
קינדער	G	628	k i n d ə r	97%	k i n d ə r:610; k i n d ɛ r:16; k u n d ə r:2
אמאל	G	622	a m u l | a m ɔ l	87%	a m u l:526; a m ɔ l:18; a m i l:17; a m a l:16; u m i l:11; u m u l:10; u m ɔ l:7; ɔ m i l:7
עולם	L	612	ɔj l ə m | ɔj l u m	93%	ɔj l ə m:566; ɔj l i m:22; ɔj l ɛ m:12; ɔj l u m:5; ɔj l ɔ m:5; ɔj l a m:2
געבן	G	609	ɡ ej b n | ɡ ɛ b n	85%	ɡ ɛ b n:508; ɡ ə b n:49; ɡ aj b n:45; ɡ ej b n:7
גארנישט	G	607	ɡ u r n i ʃ t | ɡ ɔ r n i ʃ t	76%	ɡ u r n i ʃ t:439; ɡ i r n i ʃ t:52; ɡ a r n i ʃ t:45; ɡ ɔ r n i ʃ t:24; ɡ u r n u ʃ t:18; ɡ i r n u ʃ t:12; ɡ a r n u ʃ t:10; ɡ aː r n i ʃ t:5
באשעפער	G	606	b a ʃ ɛ f ə r	94%	b a ʃ ɛ f ə r:571; b u ʃ ɛ f ɛ r:10; b u ʃ ɛ f ə r:7; b a ʃ ə f ə r:6; b a ʃ ə f ɛ r:3; b a ʃ ɛ f ɛ r:3; b u ʃ ə f ɛ r:2; b ɔ ʃ ɛ f ɛ r:1
פרשת	L	601	p a r ʃ i s | p a r ʃ ə s	99%	p a r ʃ ə s:589; p a r ʃ i s:4; f a r ʃ i s:3; f u r ʃ ə s:1; f a r ʃ ə s:1; p a r ʃ ɛ s:1; f a r ʃ u s:1; f ɔ r ʃ i s:1
אדער	G	599	ɔ d ə r	73%	ɔ d ə r:436; a d ə r:46; ɔ d ɛ r:42; a d ɛ r:37; u d ɛ r:24; u d ə r:14
בין	G	590	b i n	98%	b i n:580; b u n:10
וועגן	G	587	v ej ɡ n | v ɛ ɡ n	96%	v ɛ ɡ n:547; v ej ɡ n:14; v ə ɡ n:12; v aj ɡ n:11; v aː ɡ n:3
גוטע	G	579	ɡ i t ə	96%	ɡ i t ə:555; ɡ i t ɛ:9; ɡ u t ə:8; ɡ u t ɛ:7
אויב	G	578	ɔj b	98%	ɔj b:566; ɔj p:12
געלט	G	578	ɡ ɛ l t	99%	ɡ ɛ l t:575; ɡ ə l t:3
גמרא	L	578	ɡ ə m u r ə	97%	ɡ ə m u r ə:560; ɡ ə m a r ə:5; ɡ ɛ m i r ə:4; ɡ ɛ m u r ə:3; ɡ ɛ m i r ɛ:2; ɡ ɛ m a r ə:2; ɡ ə m i r ə:1; ɡ ə m u r ɛ:1
קומען	G	576	k i m ə n	88%	k i m ə n:505; k i m ɛ n:44; k u m ə n:20; k u m ɛ n:7
קענען	G	574	k ɛ n ə n	89%	k ɛ n ə n:511; k ɛ n ɛ n:48; k ə n ə n:9; k ə n ɛ n:6
ארויס	G	573	a r oʊ s | a r ɔj s	97%	a r oʊ s:500; a r ɔj s:55; u r ɔj s:10; ɔ r ɔj s:6; u r oʊ s:2
וועלט	G	573	v ɛ l t	99%	v ɛ l t:570; v ə l t:3
ממש	L	573	m a m i ʃ | m a m ə ʃ	95%	m a m ə ʃ:532; m a m i ʃ:13; m u m i ʃ:7; m a m u ʃ:7; m a m ɛ ʃ:4; m u m ɛ ʃ:3; m u m u ʃ:3; m ɔ m i ʃ:2
יעקב	N	571	j a n k ə v | j a n k ə f	98%	j a n k ə v:418; j a n k ə f:142; j u n k ə v:4; j u n k ɛ v:2; j u n k ə f:1; j ɔ n k ə f:1; j a n k ə p:1; j u n k ɛ p:1
וועל	G	568	v ɛ l	94%	v ɛ l:535; v ə l:33
רעדן	G	566	r ɛ d n	98%	r ɛ d n:555; r ə d n:11
ווער	G	563	v ɛ r	99%	v ɛ r:560; v ə r:3
אפילו	L	552	a f i l ə	95%	a f i l ə:524; a f i l ɛ:12; a f u l ə:5; a p i l ə:4; u f i l ə:3; ɔ f i l ə:1; a p u l ɛ:1; ɔ p i l ɛ:1
צוויי	G	549	ʦ v aj	99%	ʦ v aj:546; ʦ v aː:2; ʦ v ej:1
אלעס	G	547	a l ə s	91%	a l ə s:498; a l ɛ s:19; u l ɛ s:16; u l ə s:10; ɔ l ɛ s:2; aː l ə s:1; ɔ l ə s:1
צוריק	G	546	ʦ i r i k | ʦ u r i k	98%	ʦ i r i k:534; ʦ a r i k:5; ʦ a r u k:2; ʦ u r u k:2; ʦ i r u k:2; ʦ ɔ r i k:1
גרויסע	G	543	ɡ r ɔj s ə	99%	ɡ r ɔj s ə:535; ɡ r oʊ s ə:4; ɡ r oʊ s ɛ:2; ɡ r ɔj s ɛ:2
רעדט	G	542	r ɛ d t | r ɛ t	98%	r ɛ t:514; r ɛ d t:18; r ə t:10
אויפן	G	540	a f n | ɔ f n	96%	a f n:514; u f n:14; ɔ f n:7; ɔ p n:2; a p n:2; aː p n:1
חיים	N	538	x aj i m	99%	x aj i m:532; x aj u m:4; x ej i m:1; x aː i m:1
זען	G	537	z ej n	75%	z ej n:404; z aj n:96; z aː n:37
איין	G	536	aj n	98%	aj n:524; ej n:6; aː n:6
אלץ	G	529	a l ʦ	93%	a l ʦ:492; u l ʦ:33; ɔ l ʦ:4
איר	G	529	i r	87%	i r:460; u r:69
גוט	G	519	ɡ i t	92%	ɡ i t:477; ɡ u t:42
פארן	G	519	f a r n	93%	f a r n:484; f u r n:21; f ɔ r n:6; p u r n:4; f aː r n:2; p a r n:2
וועלן	G	516	v ɛ l n	95%	v ɛ l n:492; v ə l n:24
ביז	G	515	b i z | b i s	99%	b i s:439; b i z:70; b u s:3; b u z:3
מצוה	L	511	m i ʦ v ə	98%	m i ʦ v ə:499; m i ʦ v ɛ:6; m u ʦ v ə:4; m u ʦ v ɛ:2
אברהם	N	511	a v r u m | a v r u h ə m	97%	a v r u m:497; a v r i m:8; a v r a m:2; u v r u m:2; ɔ v r i m:1; u v r i m:1
ווייס	G	507	v aj s | v aː s	91%	v aj s:463; v u s:35; v a s:5; v ɔ s:2; v ej s:2
אליין	G	505	a l aj n | a l ej n	94%	a l aj n:458; a l ej n:19; u l aj n:12; ɔ l aj n:5; u l ej n:5; a l aː n:3; aː l ej n:1; u l aː n:1
השם	L	504	h a ʃ ɛ m	90%	h a ʃ ɛ m:455; h u ʃ ɛ m:17; h a ʃ ə m:16; h u ʃ ə m:10; h ɔ ʃ ɛ m:3; h ɔ ʃ ə m:3
וויסן	G	504	v i s n	93%	v i s n:471; v u s n:33
ניין	G	502	n aj n | n aː n	94%	n aj n:470; n ɔ n:10; n a n:10; n u n:8; n ej n:4
טוט	G	502	t i t | t u t	97%	t i t:362; t u t:124; t ɔ t:10; t a t:6
ווערטער	G	502	v ɛ r t ə r	96%	v ɛ r t ə r:484; v ɛ r t ɛ r:16; v ə r t ɛ r:1; v ə r t ə r:1
צום	G	500	ʦ i m | ʦ u m	96%	ʦ i m:477; ʦ a m:16; ʦ aː m:3; ʦ u m:3; ʦ ɔ m:1
האלט	G	496	h a l t	92%	h a l t:457; h ɔ l t:20; h u l t:19
חנוכה	L	496	x a n i k ə | x a n u k ə	94%	x a n i k ə:461; x a n i k ɛ:8; x a n u k ə:7; x ɔ n i k ə:4; x a n ɔ k ə:3; x u n i k ə:3; x u n i k ɛ:2; x u n u k ə:2
אוועק	G	494	a v ɛ k	98%	a v ɛ k:485; u v ɛ k:4; a v ə k:3; u v ə k:2
ביים	G	493	b a m | b aː m	87%	b a m:428; b aj m:38; b u m:23; b ɔ m:2; b ej m:1; b aː m:1
שיין	G	488	ʃ aj n	99%	ʃ aj n:485; ʃ ej n:2; ʃ aː n:1
אמת	L	487	ɛ m ə s	87%	ɛ m ə s:422; ɛ m ɛ s:48; ə m ɛ s:11; ə m ə s:6
וועג	G	487	v ej ɡ | v ɛ ɡ	97%	v ɛ ɡ:464; v ɛ k:11; v ej ɡ:6; v ə ɡ:3; v aj ɡ:3
וואלט	G	485	v ɔ l t	73%	v ɔ l t:355; v u l t:95; v a l t:35
נעמען	G	484	n ɛ m ə n | n ej m ə n	91%	n ɛ m ə n:358; n ej m ə n:84; n ɛ m ɛ n:21; n ə m ə n:9; n aj m ə n:5; n ə m ɛ n:3; n aj m ɛ n:2; n ej m ɛ n:2
וואסער	G	484	v a s ə r	95%	v a s ə r:458; v u s ɛ r:13; v u s ə r:10; v a s ɛ r:2; v ɔ s ə r:1
נאכדעם	G	484	n u x d ej m | n u x d ə m	85%	n u x d ə m:412; n ɔ x d ɛ m:15; n u x d ɛ m:13; n ɔ x d ə m:11; n a x d ɛ m:11; n i x d ɛ m:9; n a x d ə m:6; n i x d ə m:4
פלאץ	G	484	p l aː ʦ | p l a ʦ	99%	p l a ʦ:477; f l a ʦ:3; p l aj ʦ:1; f l aj ʦ:1; f l ɔ ʦ:1; f l u ʦ:1
שרייבט	G	484	ʃ r aː b t | ʃ r aj b t	96%	ʃ r aj b t:467; ʃ r u b t:12; ʃ r a b t:5
גיי	G	481	ɡ aj	99%	ɡ aj:476; ɡ ej:5
נעמט	G	480	n ɛ m t	98%	n ɛ m t:470; n ə m t:10
יוסף	N	480	j ɔ s ə f | j ɔj s ə f	89%	j ɔ s ə f:405; j u s ə f:28; j ɔj s ə f:21; j a s ə f:10; j u s ɛ f:9; j a s ɛ f:2; j a s ə p:2; j a s ɛ p:1
דיך	G	478	d i x	96%	d i x:457; d u x:21
ניגונים	L	478	n i ɡ i n i m | n i ɡ u n i m	96%	n i ɡ i n i m:452; n i ɡ i n u m:8; n i ɡ u n i m:7; n u ɡ i n i m:5; n i ɡ a n i m:2; n u ɡ a n i m:1; n i ɡ ɔ n i m:1; n i ɡ u n u m:1
טעג	G	477	t ej ɡ | t ɛ ɡ	97%	t ɛ ɡ:462; t ə ɡ:8; t ɛ k:2; t aj ɡ:2; t ə k:1; t ej ɡ:1; t aj k:1
שווער	G	477	ʃ v i r | ʃ v ɛ r	93%	ʃ v ɛ r:417; ʃ v u r:29; ʃ v i r:26; ʃ v ə r:5
אויס	G	476	oʊ s | ɔj s	100%	oʊ s:337; ɔj s:139
פיל	G	476	f i l	96%	f i l:455; f u l:19; p i l:2
יארן	G	475	j u r n	90%	j u r n:426; j i r n:33; j a r n:14; j ɔ r n:1; j aː r n:1
אונז	G	474	i n z | i n ʦ | i n d z	82%	i n z:383; i n s:34; u n s:22; u n z:22; u n ʦ:6; i n ʦ:6; i n d s:1
ברענגען	G	474	b r ej n ɡ ə n | b r ɛ n ɡ ə n	98%	b r ɛ n ɡ ə n:463; b r ɛ n ɡ ɛ n:5; b r ə n ɡ ə n:3; b r ej n ɡ ə n:1; b r ə n ɡ ɛ n:1; b r aj n ɡ ɛ n:1
ספר	L	473	s aj f ə r | s ej f ə r	97%	s aj f ə r:440; s ej f ə r:19; s aj f ɛ r:10; s aj p ə r:2; s ej p ə r:1; s aj p ɛ r:1
ווערן	G	473	v i r n | v ɛ r n	99%	v ɛ r n:447; v i r n:19; v u r n:6; v ə r n:1
ביסט	G	471	b i s t	98%	b i s t:460; b u s t:11
ברוך	L	468	b u r ə x | b ɔ r u x	68%	b u r ə x:259; b ɔ r u x:59; b u r u x:39; b a r u x:37; b ɔ r ə x:14; b i r ə x:13; b a r i x:9; b a r ə x:7
נאמען	G	468	n u m ə n | n ɔ m ə n	94%	n ɔ m ə n:264; n u m ə n:174; n i m ə n:7; n i m ɛ n:6; n a m ə n:6; n ɔ m ɛ n:4; n u m ɛ n:4; n a m ɛ n:3
קוקט	G	468	k i k t | k u k t	99%	k i k t:443; k u k t:22; k a k t:2; k ɔ k t:1
סתם	L	467	s t a m	94%	s t a m:439; s t u m:24; s t aː m:3; s t ɔ m:1
אראפ	G	466	a r u p | a r ɔ p	88%	a r u p:407; a r u f:11; a r a p:10; ɔ r u p:5; a r a f:4; a r i f:4; u r a p:4; a r ɔ p:4
שטיין	G	466	ʃ t aj n	99%	ʃ t aj n:462; ʃ t ej n:3; ʃ t aː n:1
איד	G	465	j i d | i d	90%	i d:410; i t:40; j i d:8; u t:5; j u t:1; j u d:1
וויפיל	G	465	v i f i l | v i f l	97%	v i f l:418; v i f i l:34; v u f l:5; v i f u l:4; v u f i l:3; v u p l:1
צוזאמען	G	464	ʦ i z a m ə n | ʦ u z a m ə n	72%	ʦ i z a m ə n:329; ʦ i z u m ə n:27; ʦ i z aː m ə n:22; ʦ i z a m ɛ n:21; ʦ i z u m ɛ n:15; ʦ u z u m ə n:6; ʦ u z u m ɛ n:5; ʦ a z u m ɛ n:5
ווייטער	G	464	v aː t ə r | v aj t ə r	91%	v aj t ə r:422; v aj t ɛ r:15; v ɔ t ɛ r:6; v u t ɛ r:6; v a t ə r:5; v ɔ t ə r:3; v a t ɛ r:3; v u t ə r:2
זיינע	G	462	z aː n ə | z aj n ə	94%	z aj n ə:310; z aː n ə:122; z a n ə:9; z ej n ə:5; z u n ɛ:5; z u n ə:4; z aj n ɛ:2; z a n ɛ:2
איבער	G	462	i b ə r	88%	i b ə r:406; i b ɛ r:37; u b ə r:12; u b ɛ r:7
ווערט	G	461	v i r t | v ɛ r t	98%	v ɛ r t:435; v i r t:15; v u r t:10; v ə r t:1
וואו	G	460	v i	51%	v i:235; v u:225
קינד	G	458	k i n d	95%	k i n d:434; k i n t:20; k u n t:3; k u n d:1
טון	G	457	t i n | t u n | t ɔ n	99%	t i n:286; t u n:164; t a n:5; t ɔ n:2
אנדערע	G	452	a n d ə r ə	85%	a n d ə r ə:385; a n d ɛ r ə:17; a n d ɛ r ɛ:13; u n d ə r ə:6; u n d ɛ r ə:6; a n d ə r ɛ:6; aː n d ə r ə:5; ɔ n d ə r ɛ:4
לעבן	G	451	l ej b n | l ɛ b n	96%	l ɛ b n:349; l ej b n:86; l ə b n:7; l aj b n:6; l aː b n:3
געשריבן	G	447	ɡ ə ʃ r i b n	95%	ɡ ə ʃ r i b n:426; ɡ ə ʃ r u b n:10; ɡ ɛ ʃ r i b n:7; ɡ ɛ ʃ r u b n:4
לערנען	G	443	l i r n ə n | l ɛ r n ə n	91%	l ɛ r n ə n:391; l i r n ə n:13; l ə r n ə n:11; l u r n ə n:10; l ɛ r n ɛ n:8; l i r n ɛ n:4; l ə r n ɛ n:3; l u r n ɛ n:3
בחור	L	439	b u x ə r | b u x i r	93%	b u x ə r:409; b i x u r:10; b a x ə r:4; b i x ə r:3; b u x u r:3; b a x u r:3; b i x ɛ r:2; b ɔ x ə r:2
אפשר	L	437	ɛ f ʃ i r | ɛ f ʃ ə r	79%	ɛ f ʃ ə r:324; ɛ p ʃ ə r:36; ɛ f ʃ i r:22; ɛ p ʃ i r:19; ɛ f ʃ ɛ r:15; ɛ p ʃ u r:5; ɛ f ʃ u r:5; ə f ʃ i r:4
האסט	G	435	h u s t | h ɔ s t	76%	h ɔ s t:260; h i s t:77; h u s t:72; h a s t:25; h aː s t:1
קענסט	G	435	k ɛ n s t	99%	k ɛ n s t:431; k ə n s t:4
בית	L	435	b aj s b i s i n b i s m ə d r ə ʃ	82%	b aj s b i s i n b i s m ə d r ə ʃ:355; b aj s b i s i n b i s m ɛ d r ə ʃ:20; b aj s b i s i n b i s m ə d r ɛ ʃ:17; b aj s b i s i n b i s m ɛ d r ɛ ʃ:9; b aj s b i s i n b u s m ə d r ə ʃ:7; b aj s b i s i n b u s m ə d r ɛ ʃ:6; b aj s b u s i n b i s m ɛ d r ə ʃ:5; b aj s b i s u n b i s m ə d r ə ʃ:3
לא	L	434	l ɔj | l ɔ	92%	l ɔj:395; l u:17; l a:15; l ɔ:6; l oʊ:1
מיינע	G	434	m aː n ə | m aj n ə	87%	m aj n ə:376; m aj n ɛ:26; m u n ə:11; m a n ə:11; m a n ɛ:4; m ɔ n ə:2; m ej n ə:2; m u n ɛ:2
קליינע	G	429	k l aj n ə	100%	k l aj n ə:427; k l ej n ə:1; k l aj n ɛ:1
פונעם	G	428	f i n ə m | f u n ə m	62%	f i n ə m:264; f i n ɛ m:120; f a n ɛ m:22; f a n ə m:16; f ɔ n ɛ m:2; f u n ɛ m:2; f u n ə m:1; p u n ə m:1
אייך	G	416	aː x | aj x	44%	aj x:179; a x:76; ɔ x:74; u x:67; ej x:17; aː x:3
על	L	415	a l	90%	a l:375; u l:20; ɔ l:20
היינט	G	415	h aː n t | h aj n t	80%	h aj n t:332; h a n t:35; h u n t:22; h ɔ n t:22; h ej n t:3; h aː n t:1
גאנץ	G	412	ɡ a n ʦ	90%	ɡ a n ʦ:370; ɡ u n ʦ:31; ɡ aː n ʦ:10; ɡ ɔ n ʦ:1
