word	pointed	rule_ipa	observed_ipa	count
חולה	חוֹלֶה	xilh	xojlə	10
חופה	חוּפָּה	xifh	xupə	10
מחצית	מַחֲצִית	mxʦis	maxatsəs	10
שחרית	שַׁחֲרִית	ʃxris	ʃaxrəs	10
שליט"א	שְׁלִיטָ"א	ʃlit"a	ʃlitə	10
דרושות	דְרוּשׁוֹת	driʃis	druʃəs	10
הלילות	הַלֵּילוֹת	hlilis	halajləs	10
במהרה	בִּמְהֵרָה	bmhrh	bimhejro	10
רבה	רַבָּה	rbh	rabə	10
שאלות	שְׁאֵלוֹת	ʃalis	ʃajləs	10
שורות	שׁוּרוֹת	ʃiris	ʃurəs	10
דעת	דַּעַת	dɛs	das	10
הזאת	הַזֹּאת	hzas	hazos	10
חזון	חֲזוֹן	xzin	חזון	10
חמור	חֲמוֹר	xmir	xamər	10
חסדי	חַסְדֵי	xsdi	xasdaj	10
שבעת	שִׁבְעַת	ʃbɛs	ʃivas	10
תצוה	תְּצַוֶּה	sʦih	tətsavə	10
וו"ו	וָו"ו	v"i	vov	10
מגילה	מְגִילָה	mɡilh	mgilə	10
סמיכה	סְמִיכָה	smixh	smiχə	10
שפּילן	שפּילן	ʃpilən	ʃpiln	10
אחרי	אַחֲרֵי	axri	axrej	10
בבל	בָּבֶל	bbl	בבל	10
ושתי	וַשְׁתִּי	iʃsi	vaʃti	10
זקן	זָקֵן	zkən	zokən	10
חיוב	חִיּוּב	xjib	xijəv	10
נדר	נֶדֶר	ndr	nejdər	10
סמך	סַמֶך	smx	saməx	10
פסקנט	פּסקנט	pasknt	paskənt	10
רַם	רַם	rəm	ram	10
שמן	שֶׁמֶן	ʃmən	ʃemən	10
הוי"ה	הַוָָיָה	hɔɪ"h	havajə	9
בדחן	בַּדְחָן	bdxaɪn	batxn	9
גדלות	גדלות	ɡdlis	gadləs	9
המתים	הַמֵּתִים	hmsim	amesim	9
חדר	חֶדֶר	xdr	חדר	9
חופּה	חוּפָּה	xiph	xupə	9
מזבח	מִזְבֵּחַ	mzbx	מזבח	9
נחמד	נֶחְמָד	nxmd	nexmod	9
נחמן	נַחְמָן	nxmən	naxmən	9
קללות	קְלָלוֹת	kllis	kloləs	9
קרבנות	קָרְבָּנוֹת	krbnis	korbonəs	9
"אם	"אִם	"am	im	9
המשיח	הַמָּשִׁיחַ	hmʃix	haməʃiəx	9
כהלכתו	כְּהִלְכָתוֹ	xhlxsi	kəxilxoso	9
מחזור	מַחֲזוֹר	mxzir	maxzər	9
ע"ה	ע"ה	ɛ"h	oləvhaʃoləm	9
תלמוד	תַּלְמוּד	slmid	talməd	9
תפלין	תּפֿילין	sflin	tfiln	9
השגה	הַשָּׂגָה	hʃɡh	השגה	9
מדה	מִדָּה	mdh	midə	9
קלה	קַלָה	klh	kalə	9
אריכות	אֲרִיכוּת	arixis	אריכות	9
חובות	חוֹבוֹת	xibis	xojvəs	9
חידושים	חִידּוּשִׁים	xidiʃim	חידושים	9
פירות	פֵּרוֹת	firis	pejrəs	9
תיבות	תֵּיבוֹת	sibis	tajvəs	9
אחר	אַחַר	axr	axar	9
בעת	בְּעֵת	bɛs	bes	9
חושך	חֹשֶׁךְ	xiʃx	xojʃəx	9
חזיר	חזיר	xzir	xazər	9
חרוב	חרובֿ	xrib	xorəv	9
חשוף	חֲשׂוֹף	xʃif	xasof	9
רוחל	רוּחֶל	rixl	ruxl	9
שוחד	שוחד	ʃixd	שוחד	9
גדולה	גְדוֹלָה	ɡdilh	גדולה	9
הקדושה	הַקְּדוֹשָׁה	hkdiʃh	hakdojʃo	9
מגדים	מְגָדִים	mɡdim	מגדים	9
משפטים	מִשְׁפָּטִים	mʃftim	miʃpotim	9
פֿלעגן	פֿלעגן	flɛɡən	flegn	9
שקלים	שְׁקָלִים	ʃklim	ʃkolim	9
אותי	אוֹתִי	isi	ojsi	9
אנחנו	אֲנַחְנוּ	anxni	anaxni	9
במדבר	בְּמִדְבַּר	bmdbr	במדבר	9
דה	דֶה	dh	də	9
דן	דָן	dən	דן	9
ואת	וְאֶת	ias	vəes	9
ושמחו	וְשִׂמְחוּ	iʃmxi	vsimxi	9
זרש	זֶרֶשׁ	zrʃ	zerəʃ	9
חוסוף	חוֹשׂוֹף	xisif	xosəf	9
יחידי	יְחִידִי	ixidi	jəxidə	9
מבטל	מְבַטֵל	mbtl	מבטל	9
מקדש	מְקַדֵּשׁ	mkdʃ	מקדש	9
מר	מַר	mr	mar	9
רחמיו	רַחֲמָיו	rxmji	raχamov	9
רם	רַם	rəm	ram	9
שכם	שכם	ʃxəm	ʃxem	9
תנאי	תְּנַאי	snaː	תנאי	9
תקיעה	תּקיעה	skiɛh	tkijə	9
מהרש"א	מהרש"א	mhrʃ"a	marʃa	8
שפֿת	שְׂפַת	ʃfs	sfas	8
ושמחה	וְשִׂמְחָה	iʃmxh	vəsimxə	8
כתיבה	כְּתִיבָה	xsibh	ksisə	8
לכתחילה	לְכַתְּחִלָּה	lxsxilh	לכתחילה	8
בזכות	בִּזְכוּת	bzxis	bizxəs	8
דלת	דָּלֶת	dls	daləd	8
הדברות	הַדִּבְּרוֹת	hdbris	adibrəs	8
הלבבות	הַלְּבָבוֹת	hlbbis	haləvovəs	8
הרחמים	הָרַחֲמִים	hrxmim	haraxamim	8
חסדים	חֲסָדִים	xsdim	חסדים	8
חסדך	חַסְדְּךָ	xsdx	xasdəxə	8
דהטלית	דַהֲטַלִּית	dhtlis	dahatalis	8
י"ג	י"ג	i"ɡ	יג	8
מות	מוֹת	mis	מות	8
קצות	קְצוֹת	kʦis	ksos	8
רשות	רְשׁוּת	rʃis	rəʃəs	8
תמימות	תְּמִימוּת	smimis	tmiməs	8
ואתה	וְאַתָּה	iaʃ	vəatɔ	8
זלפה	זִלְפָּה	zlfh	zilpə	8
אומות	אומות	imis	uməs	8
אורות	אוֹרוֹת	iris	ojres	8
וחסידים	וַחֲסִידִים	ixsidim	vaχasidim	8
סעודות	סְעוּדוֹת	sɛidis	סעודות	8
עטרת	עֲטֶרֶת	ɛtrs	aterəs	8
תעניתים	תּעניתים	sɛnisim	תעניתים	8
תקיעות	תְּקִיעוֹת	skiɛis	תקיעות	8
אמתדיק	אֱמֶתְדִיק	ɛmɛsdik	emesdik	8
בעלהבית	בַּעַל־הַבַּיִת	bɛlhbis	baləbos	8
נחום	נַחוּם	nxim	noxm	8
סוחר	סוחר	sixr	סוחר	8
וברכה	וּבְרָכָה	ibrxh	uvəroxə	8
מסורה	מְסוֹרָה	msirh	məsojrə	8
טרעפֿן	טרעפֿן	trɛfən	trefn	8
קרעפּל	קרעפּל	krɛpl	krepl	8
אחי	אֲחַי	axi	axaɪ	8
אחשורוש	אֲחַשְׁוֵרוֹשׁ	axʃiriʃ	axaʃvejrəʃ	8
אתרוג	אֶתְרוֹג	asriɡ	esrig	8
בביאת	בְּבִיאַת	bbias	bivias	8
בגלל	בִּגְלַל	bɡll	בגלל	8
בזמן	בִּזְמַן	bzmən	bizman	8
ביאת	בִּאַת	bias	biəs	8
ביתו	בֵּיתוֹ	bisi	bajso	8
בך	בָּךְ	bx	box	8
דרשנט	דַרְשְׁנְט	drʃnt	darʃənt	8
הב	הַב	hb	hav	8
הדבר	הַדָּבָר	hdbr	hadɔvɔr	8
ואהבת	וְאָהַבְתָּ	iahbs	vəɔhavtɔ	8
ויחי	וַיְחִי	ɔɪxi	ויחי	8
ויקחו	וְיִקְחוּ	ɔɪkxi	vəjɪkxikhe	8
זהב	זָהָב	ʒb	zohov	8
למד	לָמֶד	lmd	laməd	8
מחויב	מחויב	mxɔɪb	מחויב	8
מילתא	מִילְּתָא	milsa	milso	8
מסדר	מסדר	msdr	מסדר	8
מרמז	מְרַמֵז	mrmz	מרמז	8
קלמן	קַלְמָן	klmən	kalmən	8
תבוא	תָבוֹא	sbia	תבוא	8
תהיו	תִּהְיוּ	ʃji	tɪji	8
תשפ"ה	תשפ"ה	sʃf"h	tafʃinpejhej	7
תשפ"ג	תשפ"ג	sʃf"ɡ	taʃpag	7
ב"ה	ב"ה	b"h	borəxhaʃem	7
כ"ף	כַּף	x"f	kaf	7
מהרש"ל	מהרש"ל	mhrʃ"l	maharʃal	7
רשב"ם	רַשְׁבַּ"ם	rʃb"m	raʃbam	7
השגחה	הַשְׁגָחָה	hʃɡxh	haʃgoxə	7
חמדה	חֶמְדַּת	xmdh	xemdəs	7
תמחה	תִּמְחֶה	smxh	timxe	7
תפלה	תּפֿילה	sflh	tfilə	7
שחיטה	שְׁחִיטָה	ʃxith	שחיטה	7
בתורה	בַּתּוֹרָה	bsirh	בתורה	7
חמישה	חֲמִשָּׁה	xmiʃh	xamɪʃə	7
חרבונה	חַרְבוֹנָה	xrbinh	xarbəjnə	7
בהתר	בְּהֶתֵּר	bhsr	bəheter	7
