word_bare	canonical_pointed	n_variants_before	total_count	source
פיל	פִֿיל	5	342	gemini
מדרש	מִדְרָשׁ	5	340	gemini
הארץ	האַרץ	10	338	gemini
ברכה	בְּרָכָה	8	334	gemini
פסח	פֶּסַח	3	333	gemini
שפעטער	שְׁפּעֶטֶער	20	333	gemini
ענין	עִנְיָן	4	331	gemini
סתם	סְתָם	8	331	gemini
אייבערשטן	אֵייבֶּערְשְׁטְן	29	330	gemini
לשון	לָשׁוֹן	3	326	gemini
ניט	נִיט	2	322	gemini
גערעדט	גֶערֶעדְט	10	320	gemini
שלמה	שְׁלֹמֹה	5	320	gemini
אוועק	אַוועֶק	8	318	gemini
אבינו	אָבִינוּ	8	316	gemini
דורך	דוּרְךְ	19	314	gemini
ארץ	אֶרֶץ	3	312	gemini
בא	בַּא	12	310	gemini
סופר	סוֹפֵר	4	307	gemini
שיין	שֵׁיין	7	306	gemini
שמחה	שִׂמְחָה	8	303	gemini
לעבן	לֶעבְן	11	303	gemini
משיח	מָשִׁיחַ	7	303	gemini
ברכות	בְּרָכוֹת	6	301	gemini
אשר	אֲשֶׁר	6	300	gemini
כמעט	כִּמְעַט	7	299	gemini
אפ	אָפּ	5	299	gemini
הוא	הוּא	3	293	majority
צוזאמען	צוּזאַמֶען	10	287	gemini
מצרים	מִצְרַיִם	7	287	gemini
ניגונים	נִיגּוּנִים	8	286	gemini
דוד	דָּוִד	3	285	gemini
בעט	בֶּעט	6	284	gemini
געבעטן	גֶעבֶעטְן	12	283	gemini
פשוט	פָּשׁוּט	11	282	gemini
קאפ	קאָפּ	9	280	gemini
נאכדעם	נָאָכְדֶעם	11	279	gemini
האסט	האָסְט	7	277	gemini
אה	אָה	7	277	gemini
יארן	יאָרְן	6	274	gemini
גאנצן	גאַנצְן	7	274	gemini
באקומען	בַּאַקוּמֶען	14	273	gemini
נשמה	נְשָׁמָה	3	271	gemini
יעדן	יֶעדְן	8	271	gemini
גיי	גֵיי	5	270	gemini
גרויסער	גְרוֹיסֶער	9	270	gemini
מה	מַה	4	270	gemini
וואסער	וואַסֶער	9	268	gemini
זוכה	זוֹכֶה	10	268	gemini
גוי	גּוֹי	4	266	gemini
פארשטייט	פֿאַרשְׁטֵייט	21	265	gemini
קליינע	קְלֵיינֶע	11	264	gemini
מין	מִין	3	264	gemini
מן	מִן	7	264	gemini
מיינע	מַיינֶע	11	263	gemini
געהאלטן	גֶעהאַלְטְן	13	262	gemini
מורא'דיגע	מוֹרָא'דִיגֶע	12	261	gemini
קינד	קִינְד	7	259	gemini
געזונט	גֶעזוּנְט	9	259	gemini
קשיא	קַשְׁיאָ	3	259	gemini
ערשטע	עֶרְשְׁטֶע	9	259	gemini
נאמען	נָאָמֶען	8	259	gemini
ביסט	בִּיסְט	9	258	gemini
זאג	זאָג	7	258	gemini
ווייטער	ווַייטֶער	15	258	gemini
סוף	סוֹף	4	257	gemini
געטאן	גֶעטָאָן	4	257	gemini
איש	אִישׁ	4	256	gemini
רופט	רוּפְט	5	256	majority
באקאנטע	באַקאַנְטע	20	255	gemini
גאנץ	גאַנְץ	7	255	gemini
זיינען	זייַנֶען	11	254	gemini
לערנט	לֶערְנְט	8	254	gemini
פרשה	פַּרָשָׁה	10	254	gemini
שטיין	שְׁטֵיין	8	253	gemini
שבועות	שָׁבוּעוֹת	11	253	gemini
אפשר	אֶפְשָׁר	16	251	gemini
ווערט	ווֶערְט	9	247	gemini
ברענגען	בְּרֶענְגֶען	7	247	gemini
וועג	ווֶעג	4	247	gemini
דיין	דַייַן	10	247	gemini
זעלבע	זֶעלְבֶע	10	246	gemini
חתונה	חֲתוּנָה	6	243	gemini
אידן	אִידְן	5	243	gemini
לך	לְךָ	9	242	gemini
איינמאל	אֵיינְמָאָל	22	241	gemini
מגיד	מַגִּיד	3	241	gemini
טון	טוּן	3	240	majority
אבל	אֲבָל	16	240	gemini
המקדש	הַמִּקְדָּשׁ	4	240	gemini
באקאנט	באַקאַנְט	14	240	gemini
חודש	חוֹדֶשׁ	3	239	gemini
דענק	דֶענְק	3	238	gemini
איינס	אֵיינְס	10	237	gemini
תלמיד	תַּלְמִיד	4	237	gemini
לאמיר	לָאָמִיר	10	236	gemini
שווער	שְׁווֶער	10	234	gemini
היינט	הַייַנְט	9	234	gemini
הייליקן	הֵיילִיקְן	10	233	gemini
ס'האט	ס'הָאָט	10	232	gemini
הונדערט	הוּנְדֶערְט	8	231	gemini
גאון	גָאוֹן	10	230	gemini
אהרן	אַהֲרֹן	4	230	gemini
כהן	כֹּהֵן	6	229	gemini
פיר	פִֿיר	6	228	gemini
ספרים	סְפָרִים	6	228	gemini
הייליקער	הֵיילִיקֶער	16	228	gemini
חתם	חֲתַם	6	228	gemini
עבודה	עֲבוֹדָה	10	226	gemini
קענסט	קֶענְסְט	4	226	gemini
איד	אִיד	2	225	gemini
פארשטיין	פֿאַרְשְׁטֵיין	22	222	gemini
עשו	עֵשָׂו	6	219	gemini
כבוד	כָּבוֹד	10	218	gemini
פלאץ	פְּלַאַץ	12	217	gemini
פרעגן	פֿרֶעגְן	14	217	gemini
ליב	לִיבּ	6	217	gemini
הרע	הָרָע	5	217	gemini
גענומען	גֶענוּמֶען	8	216	gemini
טאטן	טַאַטְן	6	214	gemini
נעשה	נַעֲשֶׂה	4	212	gemini
חסידים	חֲסִידִים	4	210	gemini
אר	אֶר	5	209	gemini
כביכול	כִּבְיָכוֹל	10	208	gemini
קודש	קוֹדֶשׁ	5	207	gemini
מאמע	מַאַמֶע	5	207	gemini
הימל	הִימְל	7	207	gemini
מקבל	מְקַבֵּל	9	206	gemini
התורה	הַתּוֹרָה	3	206	gemini
נאכט	נַאַכְט	9	206	gemini
ארויף	אַרוֹיף	5	206	gemini
זינגט	זִינְגְט	6	206	gemini
שטארק	שְׁטַאַרְק	15	205	gemini
אנגעהויבן	אָנְגֶעהוֹיבְן	27	204	gemini
האנט	הַאַנְט	8	204	gemini
געוווסט	גֶעוווּסְט	6	202	gemini
זיסע	זִיסֶע	4	201	gemini
אדם	אָדָם	3	200	gemini
אם	אִם	6	200	gemini
מלך	מֶלֶךְ	5	200	gemini
כלל	כְּלַל	5	199	gemini
מאן	מַאַן	9	198	gemini
זוכט	זוּכְט	4	197	gemini
געברענגט	גֶעבְּרֶענְגְט	9	196	gemini
מיטן	מִיטְן	4	195	gemini
אור	אוֹר	5	194	gemini
מיך	מִיךְ	3	193	gemini
זיידע	זֵיידֶע	11	192	gemini
נאכאמאל	נאָכאַמאָל	16	192	gemini
יששכר	יִשָּׂשכָר	6	192	gemini
געשריבן	גֶעשְׁרִיבְן	14	191	gemini
בעטן	בֶּעטְן	8	191	gemini
נא	נָא	7	190	gemini
קוקט	קוּקְט	3	189	gemini
השנה	הַשָּׁנָה	2	189	gemini
עץ	עֶץ	3	189	gemini
מורא	מוֹרָא	6	189	gemini
כח	כֹּחַ	5	188	gemini
פרוי	פֿרוֹי	10	188	gemini
האלטן	הַאַלְטְן	10	187	gemini
בגימטריא	בְּגִימַטְרִיּאָ	6	186	gemini
וואו	וואָוּ	18	184	gemini
געזעהן	גֶעזֶעהְן	7	184	gemini
פורים	פּוּרִים	5	183	gemini
ביידע	בֵּיידֶע	14	182	gemini
חלילה	חָלִילָה	4	181	gemini
הערן	הֶערְן	6	180	gemini
כ'האב	כ'הָאָב	19	180	gemini
אנגעקומען	אָנְגֶעקוּמֶען	12	180	gemini
זייט	זַייַט	9	180	gemini
וועלכע	ווֶעלְכֶע	12	179	gemini
פארגעסן	פֿאַרְגֶעסְן	14	179	gemini
צווישן	צְווִישְׁן	11	178	gemini
צדקה	צְדָקָה	2	178	gemini
געזוכט	גֶעזוּכְט	10	178	gemini
צווייטן	צְווַייטְן	16	177	gemini
בחור	בָּחוּר	4	177	gemini
מלאך	מַלְאָךְ	8	177	gemini
איבער	אִיבֶּער	7	176	gemini
זיכער	זִיכֶער	4	176	gemini
געבוירן	גֶעבּוֹירְן	12	176	gemini
ערב	עֶרֶב	13	175	gemini
נח	נֹחַ	3	175	gemini
לו	לוֹ	4	174	gemini
איינעם	אֵיינֶעם	8	172	gemini
אני	אֲנִי	4	172	gemini
דברי	דִּבְרֵי	5	171	gemini
חכם	חָכָם	5	171	gemini
געמיינט	גֶעמֵיינְט	11	169	gemini
שטעלט	שְׁטֶעלְט	6	169	gemini
הערט	הֶערְט	6	168	gemini
אאזוי	אאַזוֹי	6	168	gemini
שמעון	שִׁמְעוֹן	4	168	gemini
חלק	חֵלֶק	3	167	gemini
האסטו	הָאָסְטוּ	13	166	gemini
שטאט	שְׁטָאָט	10	166	gemini
דערציילן	דֶערְצֵיילְן	10	166	gemini
מוז	מוּז	2	166	gemini
דוא	דוּאַ	6	165	gemini
המלך	הַמֶּלֶךְ	3	165	gemini
קרח	קֹרַח	2	165	gemini
בשם	בְּשֵׁם	4	164	gemini
חנכה	חֲנֻכָּה	2	164	gemini
עט	עֶט	3	163	gemini
געהייסן	גֶעהֵייסְן	5	163	gemini
הייבט	הֵייבְט	15	163	gemini
עין	עַיִן	4	162	gemini
געפארן	גֶעפָֿאָרְן	12	161	gemini
געשטאנען	גֶעשְׁטַאַנֶען	17	161	gemini
יענע	יֶענֶע	4	161	gemini
אלימלך	אֱלִימֶלֶךְ	4	161	gemini
ישיבה	יְשִׁיבָה	5	160	gemini
רבנו	רַבֵּנוּ	5	160	gemini
טראכט	טְרַאַכְט	7	160	gemini
מסתמא	מִסְתַּמָא	14	160	gemini
טויזנט	טוֹיזֶנְט	10	160	gemini
קיינער	קֵיינֶער	6	159	gemini
שמים	שָׁמַיִם	3	159	gemini
הויז	הוֹיז	5	159	gemini
קול	קוֹל	2	158	gemini
ערשט	עֶרְשְׁט	8	157	gemini
טיש	טִישׁ	4	157	gemini
געשען	גֶעשֶׁען	3	157	gemini
מוחל	מוֹחֵל	5	157	gemini
געטראפן	גֶעטְרָאָפֿן	17	157	gemini
זינגען	זִינְגֶען	6	156	gemini
לייגט	לֵייגְט	7	155	gemini
אהיים	אַהֵיים	7	155	gemini
שכר	שְׂכַר	6	155	gemini
מלאכים	מַלְאָכִים	3	154	gemini
לי	לִי	4	154	gemini
גלייך	גְלַייַך	11	154	gemini
גדול	גָּדוֹל	7	153	gemini
פארוואס	פַֿאַרְוואָס	22	153	gemini
מעג	מֶעג	3	152	gemini
ס'דא	ס'דאָ	9	151	gemini
יעדע	יֶעדֶע	4	151	gemini
דעמאלט	דֶעמָאָלְט	9	151	gemini
לעצטע	לֶעצְטֶע	9	151	gemini
מוראדיקע	מוֹרָאדִיקֶע	13	150	gemini
אונדז	אוּנְדְז	5	149	gemini
נעם	נֶעם	4	149	gemini
מורא'דיקע	מוֹרָא'דִיקֶע	7	149	gemini
אויגן	אוֹיגְן	6	149	gemini
חסד	חֶסֶד	2	148	gemini
גרעסטע	גְרֶעסְטֶע	5	147	gemini
דארפסט	דאַרפֿסט	24	147	gemini
אלול	אֱלוּל	4	147	gemini
גרויס	גְרוֹיס	5	146	gemini
אלף	אַלֶף	6	146	gemini
אמונה	אֱמוּנָה	3	146	gemini
קענט	קֶענְט	2	145	gemini
אט	אָט	4	145	gemini
געטראכט	גֶעטְרַאַכְט	11	145	gemini
זכות	זְכוּת	3	145	gemini
חסיד	חָסִיד	3	145	gemini
פיש	פִישׁ	9	145	majority
עסט	עֶסְט	5	144	gemini
ווא	ווִא	6	144	gemini
אייניקל	אֵיינִיקְל	13	144	gemini
יענעם	יֶענֶעם	4	144	gemini
הזה	הַזֶּה	3	144	gemini
טעם	טַעַם	4	144	gemini
העלפן	הֶעלְפֿן	10	143	gemini
מ'זאל	מְ'זָאָל	15	143	gemini
זיצט	זִיצְט	3	143	gemini
היום	הַיּוֹם	2	143	gemini
פארציילן	פַֿאַרְצֵיילְן	17	142	gemini
וויפיל	ווִיפִֿיל	10	142	gemini
נס	נֵס	3	142	gemini
רבותי	רַבּוֹתַי	9	142	gemini
רבונו	רִבּוֹנוֹ	4	142	gemini
קעניג	קֶענִיג	4	142	gemini
זיבן	זִיבְן	7	141	gemini
הלכה	הֲלָכָה	3	141	gemini
לאנג	לַאנְג	6	141	gemini
פנים	פָּנִים	5	141	gemini
אלס	אַלְס	4	141	gemini
ולא	וְלֹא	2	141	gemini
אותיות	אוֹתִיּוֹת	4	140	gemini
פרנסה	פַּרְנָסָה	6	140	gemini
שלא	שֶׁלֹּא	3	140	gemini
בעלזער	בֶּעלְזֶער	8	140	gemini
משנה	מִשְׁנָה	11	140	gemini
ליגט	לִיגְט	3	139	gemini
באקומט	בַּאקוּמְט	11	139	gemini
ונצליח	וְנַצְלִיחַ	1	139	mechanical
אום	אוּם	2	138	gemini
גלות	גָלוּת	5	138	gemini
דארפסטו	דַאַרְפֿסְטוּ	28	137	gemini
מלחמה	מִלְחָמָה	2	137	gemini
לויט	לוֹיט	5	137	gemini
פסוקים	פְּסוּקִים	6	137	gemini
חכמים	חֲכָמִים	4	136	gemini
רבה	רֶבֶּה	5	136	gemini
אבות	אָבוֹת	5	136	gemini
הייט	הייָט	6	136	gemini
פרעה	פַּרְעֹה	5	135	gemini
זעהן	זֶעהְן	4	134	gemini
שטוב	שְׁטוּב	8	134	gemini
דאווענען	דַאַווֶענֶען	17	134	gemini
געלערנט	גֶעלֶערְנְט	6	133	gemini
גערופן	גֶערוּפֿן	12	133	gemini
סדר	סֵדֶר	3	133	gemini
דרך	דֶרֶךְ	7	133	gemini
אונזער	אוּנְזֶער	5	133	gemini
חכמה	חָכְמָה	3	132	gemini
ים	יָם	3	132	gemini
גאנצער	גאַנְצֶער	9	132	gemini
לאנגע	לאַנְגֶע	5	132	gemini
קרבן	קָרְבָּן	5	131	gemini
קוק	קוּק	2	131	gemini
צווייטע	צְווֵייטֶע	13	131	gemini
מוזיק	מוּזִיק	5	131	gemini
שעה	שָׁעָה	3	131	gemini
קוקן	קוּקְן	4	130	gemini
אויפ	אוֹיפֿ	10	129	gemini
ירושלים	יְרוּשָׁלַיִם	4	129	gemini
גרייט	גְרֵייט	6	129	gemini
דאלאר	דאָלאַר	14	128	gemini
פארט	פֿאָרְט	18	128	gemini
יצר	יֵצֶר	3	128	gemini
עד	עַד	3	127	gemini
נפש	נֶפֶשׁ	6	127	gemini
פינף	פֿינְף	8	126	gemini
קליין	קְלֵיין	6	126	gemini
געשיקט	גֶעשִׁיקְט	3	126	gemini
כפור	כִּפּוּר	2	126	gemini
ווילסט	ווִילְסְט	9	125	gemini
אויפ'ן	אוֹיפֿ'ן	8	125	gemini
צאנזער	צאַנְזֶער	5	125	gemini
שירה	שִׁירָה	3	125	gemini
אלטע	אַלְטֶע	8	124	gemini
זיצן	זִיצְן	4	124	gemini
ציון	צִיּוֹן	3	123	gemini
שפעט	שְׁפֶּעט	14	123	gemini
בלעם	בִּלְעָם	3	123	gemini
פארשטאנען	פֿאַרְשְׁטאַנֶען	18	122	gemini
מחלוקת	מַחֲלוֹקֶת	5	122	gemini
פירט	פִֿירְט	6	122	gemini
סוכה	סוּכָּה	6	122	gemini
גוטן	גוּטְן	5	121	gemini
וועסטו	ווֶעסְטוּ	10	120	gemini
מ'קען	מְ'קֶען	6	120	gemini
כהנים	כֹּהֲנִים	5	120	gemini
באקאנטער	בַּאקַאנְטֶער	15	120	gemini
מי	מִי	3	120	gemini
אליעזר	אֱלִיעֶזֶר	4	119	gemini
תלמידים	תַּלְמִידִים	3	119	gemini
חבר	חָבֵר	7	119	gemini
לבנה	לְבָנָה	3	119	gemini
ערגעץ	עֶרְגֶעץ	5	118	gemini
החיים	הַחַיּיִם	3	118	gemini
יידישע	ייִדִישֶׁע	10	117	gemini
מסביר	מַסְבִּיר	4	117	gemini
געזעסן	גֶעזֶעסְן	5	117	gemini
בקיצור	בְּקִיצוּר	8	117	gemini
געכאפט	גֶעכאַפּט	11	117	gemini
פייער	פֿייַעֶר	15	117	gemini
דען	דֶען	2	116	gemini
מארגן	מאָרְגְן	6	116	gemini
אפן	אָפֿן	9	115	gemini
אייברשטער	אֵייבֶּרְשְׁטֶער	14	115	gemini
ארבעט	אַרְבֶּעט	8	114	gemini
פעקל	פֶּעקְל	6	114	gemini
געפאלן	גֶעפֿאַלְן	15	114	gemini
גוים	גּוֹיִם	4	114	gemini
פנחס	פִּנְחָס	4	114	gemini
וויי	ווֵיי	8	113	gemini
חפץ	חָפֵץ	7	113	gemini
מאיר	מֵאִיר	5	113	gemini
הר	הַר	3	113	gemini
געבליבן	גֶעבְּלִיבְן	8	112	gemini
מעשיות	מַעֲשִׂיּוֹת	7	112	gemini
באם	בַּאַם	7	112	gemini
אליהו	אֵלִיָּהוּ	3	112	gemini
לוי	לֵוִי	3	112	gemini
רבי'ן	רֶבִּי'ן	5	112	gemini
גייען	גֵייֶען	6	111	gemini
דיי	דַיי	8	111	gemini
געזונגען	גֶעזוּנְגֶען	5	111	gemini
רמב"ם	רַמְבַּ"ם	3	110	gemini
כאפט	כאַפּט	21	110	gemini
אריינגעקומען	אַרַייַנְגֶעקוּמֶען	12	110	gemini
ווארעם	וואָרֶעם	9	110	gemini
גרויסן	גְרוֹיסְן	5	110	gemini
ימים	יָמִים	4	110	gemini
חז"ל	חַזַ"ל	4	110	gemini
סאטמארער	סַאטְמָארֶער	13	110	gemini
בשמחה	בְּשִׂמְחָה	3	109	gemini
רוב	רוֹבֿ	8	109	gemini
קענסטו	קֶענְסְטוּ	6	109	gemini
דארפ	דאַרפֿ	13	108	gemini
עיקר	עִיקָר	7	108	gemini
משכן	מִשְׁכָּן	5	108	gemini
