id,sentence_yi,pointed_yi,ipa,agreement,needs_review,diff_flash|pro,ipa_flash,ipa_pro
11,און ער דארף געדענקען די פורים ווערטער ביז שבת.,אוּן עֶר דאַרף גֶעדֶענְקֶען דִּי פּוּרִים ווֶערְטֶער בִּיז שַׁבָּת.,in ɛr darf ɡɛdˈɛnkɛn di pˈirim vˈɛrtɛr biz ʃˈubɛs.,both models,no,,in ɛr darf ɡɛdˈɛnkɛn di pˈirim vˈɛrtɛr biz ʃˈubɛs.,in ɛr darf ɡɛdˈɛnkɛn di pˈirim vˈɛrtɛr biz ʃˈubɛs.
12,"איז באקאנט שוין פון די ראשונים, אז א קרבן תודה וואס מען ברענגט","אִיז באַקאַנְט שוֹין פֿוּן דִּי רִאשׁוֹנִים, אַז אַ קָרְבָּן תּוֹדָה וואָס מֶען בְּרֶענְגְט","iz bakˈant ʃɔɪn fin di riʃˈɔɪnim, az a kˈurbun tˈɔɪdə vus mɛn brɛnɡt",both models,no,,"iz bakˈant ʃɔɪn fin di riʃˈɔɪnim, az a kˈurbun tˈɔɪdə vus mɛn brɛnɡt","iz bakˈant ʃɔɪn fin di riʃˈɔɪnim, az a kˈurbun tˈɔɪdə vus mɛn brɛnɡt"
13,"קענסט זיך פארמאכן די אויגן, דער האנטל.","קֶענְסְט זִיךְ פַֿאַרְמַאכְן דִּי אוֹיגְן, דֶער הַאַנטל.","kɛnst zix farmˈaxən di ˈɔɪɡən, dɛr hˈantl.",both models,no,,"kɛnst zix farmˈaxən di ˈɔɪɡən, dɛr hˈantl.","kɛnst zix farmˈaxən di ˈɔɪɡən, dɛr hˈantl."
14,"נאָך איין פּשט שטייט פֿון די חזקוני, מיינט איך ס׳איז דאָ פֿון אַנדערע","נאָך אֵיין פְּשָׁט שְׁטֵייט פֿוּן דִּי חִזְקוּנִי, מֵיינְט אִיךְ ס׳אִיז דאָ פֿוּן אַנְדֶערֶע","nux aɪaɪn pʃut ʃtaɪt fin di xizkˈini, maɪnt ix siz du fin ˈandɛrə",both models,no,,"nux aɪaɪn pʃut ʃtaɪt fin di xizkˈini, maɪnt ix siz du fin ˈandɛrə","nux aɪaɪn pʃut ʃtaɪt fin di xizkˈini, maɪnt ix siz du fin ˈandɛrə"
15,"'אוי והילד לא יודע, לא יודע, יעדער קען דעם ניגון'.","'אוֹי וְהַיֶּלֶד לֹא יוֹדֵעַ, לֹא יוֹדֵעַ, יֶעדֶער קֶען דֶעם נִיגּוּן'.","ʔɔɪ vhˈɛlɛd lɔɪ jˈɔɪda, lɔɪ jˈɔɪda, jˈɛdɛr kɛn dɛm nˈiɡinʔ.",both models,no,,"ʔɔɪ vhˈɛlɛd lɔɪ jˈɔɪda, lɔɪ jˈɔɪda, jˈɛdɛr kɛn dɛm nˈiɡinʔ.","ʔɔɪ vhˈɛlɛd lɔɪ jˈɔɪda, lɔɪ jˈɔɪda, jˈɛdɛr kɛn dɛm nˈiɡinʔ."
16,ווארען זעהר וויכטיג און דוא דארף מען עקסטערע שמירה פאר וואס?,וואָרֶען זֵעהְר ווִיכְטִיג אוּן דוּאַ דאַרף מֶען עֶקְסְטֶערֶע שְׁמִירָה פֿאַר וואָס?,vˈurɛn zaɪhr vˈixtiɡ in dˈia darf mɛn ˈɛkstɛrə ʃmˈirə far vus?,both models,no,,vˈurɛn zaɪhr vˈixtiɡ in dˈia darf mɛn ˈɛkstɛrə ʃmˈirə far vus?,vˈurɛn zaɪhr vˈixtiɡ in dˈia darf mɛn ˈɛkstɛrə ʃmˈirə far vus?
17,קומט א וואך פון פורים דארף ער זיך דערמאנען פון פורים.,קוּמְט אַ וואָך פֿוּן פּוּרִים דאַרף עֶר זִיךְ דֶערְמָאנֶען פֿוּן פּוּרִים.,kimt a vux fin pˈirim darf ɛr zix dɛrmˈunɛn fin pˈirim.,both models,no,,kimt a vux fin pˈirim darf ɛr zix dɛrmˈunɛn fin pˈirim.,kimt a vux fin pˈirim darf ɛr zix dɛrmˈunɛn fin pˈirim.
18,"מאוד אינטערעסאנט, ווי מען טרינקט, ווי מען עסט.","מְאוֹד אִינְטֶערֶעסַאַנְט, ווִי מֶען טְרִינְקְט, ווִי מֶען עֶסְט.","mˈaɔɪd intɛrɛsˈant, vi mɛn trinkt, vi mɛn ɛst.",pro (differ),yes,maˈɔɪd|mˈaɔɪd,"maˈɔɪd intɛrɛsˈant, vi mɛn trinkt, vi mɛn ɛst.","mˈaɔɪd intɛrɛsˈant, vi mɛn trinkt, vi mɛn ɛst."
19,"אָבער מ׳עסט, מ׳ווייסט שוין אַז ס׳איז פֿון גשמיות.","אָבֶער מ׳עֶסְט, מ׳ווֵייסְט שוֹין אַז ס׳אִיז פֿוּן גַּשְׁמִיּוּת.","ˈubɛr mɛ ɛst, mɛ vaɪst ʃɔɪn az siz fin ɡˈaʃmiis.",pro (differ),yes,ɡaʃmˈiis.|ɡˈaʃmiis.,"ˈubɛr mɛ ɛst, mɛ vaɪst ʃɔɪn az siz fin ɡaʃmˈiis.","ˈubɛr mɛ ɛst, mɛ vaɪst ʃɔɪn az siz fin ɡˈaʃmiis."
20,מניין ובניין איז טייל טאגעל ברוך השם.,מִנַייְן וּבְנַייְן אִיז טַייל טאַגֶעל בָּרוּךְ הַשֵּׁם.,minˈaːn ibnˈaːn iz taːl tˈaɡɛl bˈurix haʃˈaɪm.,both models,no,,minˈaːn ibnˈaːn iz taːl tˈaɡɛl bˈurix haʃˈaɪm.,minˈaːn ibnˈaːn iz taːl tˈaɡɛl bˈurix haʃˈaɪm.
