rank,word,freq,layer,gold_ipa,gold,source,chezky_hint,review_note
69,אריין,149,G,arˈaːn | arˈajn,araan|arayn,chezky-verified,araan,
70,רבי,149,L,rˈɛbə | rˈɛbi,rebe|rebi,chezky-approved,,
71,ווער,148,G,vɛr,ver,chezky-verified,bear,
72,אויפן,147,G,afn | ɔfn,afn|ofn,chezky-verified,puffin',reduced clitic of ouf
73,גוט,147,G,ɡit,git,chezky-approved,,
74,יאר,142,G,jur,yur,chezky-approved,,
75,אסאך,141,G,ˈasax,asakh,chezky-approved,,
76,ווערט,139,G,virt | vɛrt,virt|vert,chezky-approved,,
77,דיין,137,G,daːn | dajn,daan|dayn,chezky-approved,,
78,פונעם,135,G,fˈinəm | fˈunəm,finem|funem,chezky-approved,,
79,קומט,134,G,kimt,kimt,chezky-approved,,
80,זאגט,132,G,zuɡt | zukt,zugt|zukt,chezky-verified,zugt,final: zugt
81,טאג,130,G,tuɡ | tuk,tug|tuk,chezky-approved,,
82,אנדערע,128,G,ˈandərə,andere,chezky-approved,,
83,דורך,128,G,dˈɔrəx | durx,dorekh|durkh,chezky-verified,dorech,
84,ווערן,128,G,virn | vɛrn,virn|vern,chezky-verified,tearin',
85,וויל,127,G,vil,vil,chezky-approved,,
86,וועלכע,127,G,vˈɛlxə,velkhe,chezky-approved,,
87,עפעס,127,G,ˈɛpəs,epes,chezky-verified,epes,
88,אשכול,125,X,aʃkl,ashkl,chezky-verified,ash-kl,
89,היינט,125,G,haːnt | hajnt,haant|haynt,chezky-approved,,
90,צוויי,123,G,ʦvaj,tsvay,chezky-verified,dry,
91,דארט,119,G,dɔrt,dort,chezky-approved,,
92,אידן,118,G,jidn | idn,yidn|idn,chezky-verified,leadin',
93,געלט,117,G,ɡɛlt,gelt,chezky-approved,,
94,דיר,116,G,dir,dir,chezky-verified,veer,
95,טראמפ,115,E,trɔmp | trump,tromp|trump,chezky-verified,bump,
96,על,115,L,al,al,chezky-verified,al,
97,ארויס,114,G,arˈoʊs | arˈɔjs,arous|aroys,chezky-verified,gross,
98,יעדע,113,G,jˈɛdə,yede,chezky-approved,,
99,ביז,111,G,biz | bis,biz|bis,chezky-verified,biz,
100,בין,109,G,bin,bin,chezky-approved,,
101,פארוואס,109,G,farvˈus,farvus,chezky-verified,far-vus,
102,וואלט,108,G,vɔlt,volt,chezky-verified,molt,
103,גאנצע,107,G,ɡˈanʦə,gantse,chezky-approved,,
104,בית,106,L,bajs [bis- in bˈis-mədrəʃ],bays [bis- in bis-medresh],chezky-approved,,
105,נייעס,105,G,nˈaːjəs | nˈajəs,naayes|nayes,chezky-approved,,
106,אזא,104,G,azˈa,aza,chezky-approved,,
107,פארן,104,G,farn,farn,chezky-approved,,
108,ביים,103,G,bam | baːm,bam|baam,chezky-verified,bam,
109,זאך,102,G,zax,zakh,chezky-approved,,
110,נייע,100,G,nˈaːjə | nˈajə,naaye|naye,chezky-approved,,
111,ביטע,99,G,bˈitə,bite,chezky-approved,,
112,צוריק,99,G,ʦirˈik | ʦˈurik,tsirik|tsurik,chezky-approved,,
113,גאר,97,G,ɡur,gur,chezky-verified,moore,
114,שבת,97,L,ʃˈabəs,shabes,chezky-approved,,
115,אידישע,95,G,jˈidiʃə | jˈɛdiʃə,yidishe|yedishe,chezky-verified,yedishe,
116,געזאגט,95,G,ɡəzˈuɡt | ɡəzˈukt,gezugt|gezukt,chezky-verified,gezugt,
117,וואך,94,G,vɔx,vokh,chezky-approved,,
118,זאגן,94,G,zuɡn,zugn,chezky-approved,,
119,ווייסט,92,G,vajst,vayst,chezky-approved,,
120,וויאזוי,91,G,vizˈɔj | viazˈɔj,vizoy|viazoy,chezky-verified,vizoy,
121,דאך,90,G,dɔx,dokh,chezky-verified,dokh,
122,גוטע,89,G,ɡˈitə,gite,chezky-approved,,
123,וואו,89,G,vi,vi,chezky-verified,bee,
124,טאקע,89,G,tˈakə,take,chezky-verified,ta-ke,
125,נעמען,88,G,nˈɛmən | nˈejmən,nemen|neymen,chezky-verified,if its names it aimin' if its taking its hemmin',"nemen=take, neymen=names"
126,געהאט,87,G,ɡəhˈat,gehat,chezky-approved,,
127,צייט,87,G,ʦaːt | ʦajt,tsaat|tsayt,chezky-approved,,
128,אפילו,86,L,afˈilə,afile,chezky-approved,,
129,גיין,86,G,ɡajn,gayn,chezky-approved,,
130,גרויסע,86,G,ɡrˈɔjsə,groyse,chezky-approved,,
131,יעדער,86,G,jˈɛdər,yeder,chezky-approved,,
132,איד,85,G,jid | id,yid|id,chezky-approved,,
133,קינדער,85,G,kˈindər,kinder,chezky-approved,,
134,אלעס,84,G,ˈaləs,ales,chezky-approved,,
135,נפש,84,L,nˈejfiʃ | nˈɛfəʃ,neyfish|nefesh,chezky-verified,nay-fish,
136,אפשר,83,L,ˈɛfʃir | ˈɛfʃər,efshir|efsher,chezky-verified,eff-shear,
137,לאמיר,83,G,lˈɔmir | lˈumir,lomir|lumir,chezky-verified,bummer,
138,מענטשן,83,G,mɛnʧn,mentshn,chezky-approved,,
139,סיי,83,G,saj,say,chezky-verified,bye,
140,ווארט,82,G,vɔrt,vort,chezky-verified,vort,
141,וועלן,82,G,vɛln,veln,chezky-approved,,
142,מיינט,82,G,majnt,maynt,chezky-approved,,
143,כח,81,L,kˈɔjəx,koyekh,chezky-verified,koy-ich,
144,מענטש,81,G,mɛnʧ,mentsh,chezky-approved,,
145,שטייט,81,G,ʃtajt | ʃtaːt,shtayt|shtaat,chezky-verified,if its slow its shtaat if its standing its like bite or tight,"HOMOGRAPH: shtayt=stands/says (verb); shtaat=slowly (adverb, = שטאַט)"
146,באקומען,80,G,bakˈimən,bakimen,chezky-approved,,
147,קומען,79,G,kˈimən,kimen,chezky-approved,,
148,תורה,79,L,tˈɔjrə,toyre,chezky-approved,,
149,ארבעט,78,G,ˈarbət,arbet,chezky-approved,,
150,יוסף,78,N,jˈɔsəf | jˈɔjsəf,yosef|yoysef,chezky-verified,not yoy its yo,
151,געשריבן,76,G,ɡəʃrˈibn,geshribn,chezky-approved,,
152,חנוכה,76,L,xˈanikə | xˈanukə,khanike|khanuke,chezky-verified,khanik-eh,
153,אונז,75,G,inz | inʦ | indz,inz|ints|indz,chezky-verified,inz,
154,וועגן,75,G,vejɡn | vɛɡn,veygn|vegn,chezky-approved,,
155,מיך,75,G,mix,mikh,chezky-verified,meeekh,
156,עולם,74,L,ˈɔjləm | ˈɔjlum,oylem|oylum,chezky-approved,,
157,אמאל,73,G,amˈul | ˈamɔl,amul|amol,chezky-verified,amool,
158,וועג,72,G,vejɡ | vɛɡ,veyg|veg,chezky-verified,vague,
159,מאכט,72,G,maxt,makht,chezky-approved,,
160,פסח,72,L,pˈajsəx,paysekh,chezky-verified,pie-sech,
161,געמאכט,71,G,ɡəmˈaxt,gemakht,chezky-approved,,
162,זיינע,70,G,zˈaːnə | zˈajnə,zaane|zayne,chezky-verified,zaa-ne,
163,חלק,70,L,xˈajlək,khaylek,chezky-verified,kh-eye-lick,
164,כל,70,L,kɔl | kul,kol|kul,chezky-verified,kol,
165,אביסל,69,G,abˈisl,abisl,chezky-verified,abisel,
166,ארום,69,G,arˈim | ˈarum,arim|arum,chezky-approved,,
167,יום,69,L,jɔjm | jɔm,yoym|yom,chezky-approved,,
168,אלס,68,G,ˈalis | als,alis|als,chezky-verified,alis,
169,געהערט,68,G,ɡəhˈirt | ɡəhˈɛrt,gehirt|gehert,chezky-verified,ge-hear-t,
170,האלט,67,G,halt,halt,chezky-approved,,
171,געבן,66,G,ɡejbn | ɡɛbn,geybn|gebn,chezky-verified,gay-bin,
172,הרב,66,L,harˈaːv | harˈav,haraav|harav,chezky-verified,haraav,
173,טוב,66,L,tɔjv | tɔv,toyv|tov,chezky-verified,toy-v,
174,טוט,65,G,tit | tut,tit|tut,chezky-verified,lit,
175,טעג,65,G,tejɡ | tɛɡ,teyg|teg,chezky-verified,vague,
176,זאכן,64,G,zaxn,zakhn,chezky-verified,zakh-in,
177,זעלבע,64,G,zˈɛlbə,zelbe,chezky-verified,zelle-be,
178,מינוט,64,G,minˈit | mˈinut,minit|minut,chezky-verified,min-it,
179,לעצטע,63,G,lˈɛʦtə,letste,chezky-approved,,
180,מאל,63,G,mul | mɔl,mul|mol,chezky-verified,school,
181,עטליכע,63,G,ˈɛtləxə,etlekhe,chezky-verified,et-likh-eh,
182,פשוט,63,L,pˈuʃit | pˈuʃət,pushit|pushet,chezky-verified,poo-shit,
183,אינעם,62,G,ˈinəm,inem,chezky-approved,,
184,בלויז,62,G,blɔjz,bloyz,chezky-verified,noise,
185,האסט,62,G,hust | hɔst,hust|host,chezky-verified,bust,
186,זיכער,62,G,zˈixər,zikher,chezky-approved,,
187,לויט,62,G,loʊt | lɔjt,lout|loyt,chezky-verified,moat,
188,ווייס,61,G,vajs | vaːs,vays|vaas,chezky-verified,lice,
189,זעהן,61,G,zejn,zeyn,chezky-verified,lane,
190,מיטן,61,G,mitn,mitn,chezky-verified,mitten,
191,"שליט""א",61,A,ʃlˈitə,shlite,chezky-approved,,
192,צי,60,G,ʦi,tsi,chezky-verified,bee,
193,שאלה,60,L,ʃˈaːlə | ʃˈajlə,shaale|shayle,chezky-verified,shaa-le,
194,וויפיל,59,G,vˈifil | vifl,vifil|vifl,chezky-verified,vif-fill,
195,בכלל,58,L,bəxlˈaːl | bixlˈal,bekhlaal|bikhlal,chezky-verified,be-khlaal,
196,גארנישט,58,G,ɡˈurniʃt | ɡˈɔrniʃt,gurnisht|gornisht,chezky-verified,goornish,
197,וויסן,58,G,visn,visn,chezky-verified,missin',
198,וועל,58,G,vɛl,vel,chezky-verified,bell,
199,ערשטע,58,G,ˈɛrʃtə,ershte,chezky-approved,,
200,פארומס,58,E,fˈɔrums,forums,chezky-verified,forums,
201,שיין,58,G,ʃajn,shayn,chezky-approved,,
202,של,58,L,ʃɛl,shel,chezky-verified,shell,
203,אפאר,57,G,apˈur | ˈapɔr,apur|apor,chezky-verified,apooor,
204,דריי,57,G,draj | draː,dray|draa,chezky-verified,dry,clarify vs 34 aa
205,זאלן,57,G,zɔln | zuln,zoln|zuln,chezky-verified,zolen,
206,פלאץ,57,G,plaːʦ | plaʦ,plaats|plats,chezky-verified,plaatz,
207,אלץ,56,G,alʦ,alts,chezky-approved,,
208,זייט,56,G,zaːt | zajt,zaat|zayt,chezky-verified,zaat,
209,צווישן,56,G,ʦviʃn,tsvishn,chezky-verified,tzvishen,
210,יעדן,55,G,jejdn | jɛdn,yeydn|yedn,chezky-verified,yay-din,
211,לא,55,L,lɔj | lɔ,loy|lo,chezky-verified,toy,
212,נאמען,55,G,nˈumən | nˈɔmən,numen|nomen,chezky-verified,num-in,
213,פין,55,E,pin,pin,chezky-verified,"pin [dont mix with פון which is ""from""","English loan ""pin"" - not fun-spelled; layer E"
214,יישר,54,L,jˈaʃər | jˈaʃir,yasher|yashir,chezky-verified,jashear,
215,מלחמה,54,L,milxˈumə | mˈilxɔmə,milkhume|milkhome,chezky-verified,mill-chume,
216,ממש,54,L,mˈamiʃ | mˈaməʃ,mamish|mamesh,chezky-verified,mamish,
217,העלפן,53,G,hɛlfn,helfn,chezky-verified,hell-fin,
218,וואסער,53,G,vˈasər,vaser,chezky-approved,,
219,קינד,53,G,kind,kind,chezky-verified,kind,
220,רוח,53,L,rˈiəx | rˈuəx,riekh|ruekh,chezky-verified,ree-ech,
221,רעדט,53,G,rɛdt | rɛt,redt|ret,chezky-approved,,
222,לעבן,52,G,lejbn | lɛbn,leybn|lebn,chezky-approved,,
223,קענסט,52,G,kɛnst,kenst,chezky-approved,,
224,בעל,51,L,baːl | bɛl,baal|bel,chezky-verified,"baal if hebrew, or it can mean a Bell and its pronounced regular bell",baal=LK; bel=English bell
225,לאנג,51,G,laːnɡ | lanɡ,laang|lang,chezky-verified,laang,
226,מ'קען,51,G,mˈɛkən | mkɛn,meken|mken,chezky-verified,me-ken,
227,משה,51,N,mˈɔjʃə,moyshe,chezky-approved,,
228,פראבלעם,51,E,prɔblˈejm | prɔblˈɛm,probleym|problem,chezky-verified,pro-blame,
229,רב,51,L,ruv,ruv,chezky-verified,roov,
230,שווער,51,G,ʃvir | ʃvɛr,shvir|shver,chezky-verified,shvear,
231,ווייטער,50,G,vˈaːtər | vˈajtər,vaater|vayter,chezky-verified,vaater,
232,כלל,50,L,klal,klal,chezky-verified,klal,
233,עסן,50,G,ɛsn,esn,chezky-verified,esin,
234,קוקט,50,G,kikt | kukt,kikt|kukt,chezky-approved,,
235,קעגן,50,G,kejɡn | kɛɡn,keygn|kegn,chezky-verified,kay-gen,
236,שרייבן,50,G,ʃraːbn | ʃrajbn,shraabn|shraybn,chezky-approved,,
237,ארויף,49,G,arˈoʊf,arouf,chezky-verified,a-row-f,
238,את,49,L,ɛs,es,chezky-verified,es,
239,בן,49,L,bɛn,ben,chezky-verified,ben,
240,גייען,49,G,ɡˈajən,gayen,chezky-approved,,
241,למעשה,49,L,ləmˈaːsə | ləmˈajsə,lemaase|lemayse,chezky-verified,lemaase,
242,רעדן,49,G,rɛdn,redn,chezky-verified,redin,
243,ארץ,48,L,ˈɛrəʦ,erets,chezky-verified,a-retz,
244,הייסט,48,G,hajst,hayst,chezky-verified,heist,
245,יארן,48,G,jurn,yurn,chezky-verified,yoo-rin,
246,קלאר,48,G,klur | klɔr,klur|klor,chezky-verified,kloor,
247,געגאנגען,47,G,ɡəɡˈanɡən,gegangen,chezky-approved,,
248,אליינס,46,G,alˈajns,alayns,chezky-approved,,
249,גייסט,46,G,ɡajst | ɡaːst,gayst|gaast,chezky-approved,,
250,האלטן,46,G,haltn,haltn,chezky-verified,hal-tin,
251,ווערטער,46,G,vˈɛrtər,verter,chezky-approved,,
252,מעשה,46,L,mˈaːsə | mˈajsə,maase|mayse,chezky-verified,maase,
253,ניגונים,46,L,niɡˈinim | nˈiɡunim,niginim|nigunim,chezky-verified,nigeenim,
254,סאיז,46,G,siz | sˈaiz,siz|saiz,chezky-verified,siz,
255,שרייבט,46,G,ʃraːbt | ʃrajbt,shraabt|shraybt,chezky-verified,shraabt,
256,אליין,45,G,alˈajn | ˈalejn,alayn|aleyn,chezky-approved,,
257,דארפן,45,G,daːfn | darfn,daafn|darfn,chezky-verified,daa-fin,coda r vocalized
258,הערן,45,G,hirn | hɛrn,hirn|hern,chezky-approved,,
259,"זי""ע",45,A,zxisˈɔj jˈuɡin ulˈajni,zkhisoy yugin ulayni,chezky-verified,zchee-soy yug-ine oo-line-ee,"full expansion, not zya"
260,כ'האב,45,G,xɔb | xhɔb,khob|khhob,chezky-verified,ch-hob,
261,מעג,45,G,mejɡ | mɛɡ,meyg|meg,chezky-verified,may-g,
262,ספר,45,L,sˈajfər | sˈejfər,sayfer|seyfer,chezky-approved,,
263,שטארק,45,G,ʃtark,shtark,chezky-approved,,
264,אמת,44,L,ˈɛməs,emes,chezky-verified,em-es,
265,וכו,44,L,vəxˈilə | vˈɛxulaj,vekhile|vekhulay,chezky-verified,ve-chili,
266,יעקב,44,N,jˈankəv | jˈankəf,yankev|yankef,chezky-verified,yankev,
267,מיינע,44,G,mˈaːnə | mˈajnə,maane|mayne,chezky-verified,maane,
268,פרעזידענט,44,E,prəzidˈɛnt,prezident,chezky-verified,prezident,
269,באשעפער,43,G,baʃˈɛfər,bashefer,chezky-approved,,
270,כי,43,L,ki,ki,chezky-verified,key,
271,מאיר,43,N,mˈajər,mayer,chezky-approved,,
272,איראן,42,E,irˈan,iran,chezky-approved,,
273,לכאורה,42,L,lixˈɔjrə | ləxˈɔjrə,likhoyre|lekhoyre,chezky-verified,lich-oy-reh,
274,לערנען,42,G,lˈirnən | lˈɛrnən,lirnen|lernen,chezky-verified,l-ear-nen,
275,בערך,41,L,bəˈejrəx | bəˈɛrəx,beeyrekh|beerekh,chezky-verified,be-A-rech,
276,היימישע,41,G,hˈajmiʃə,haymishe,chezky-approved,,
277,השם,41,L,haʃˈɛm,hashem,chezky-verified,hashem,
278,זעהט,41,G,zejt | zɛt,zeyt|zet,chezky-verified,zay-t,
279,יואל,41,N,jˈɔjəl,yoyel,chezky-verified,yoy-el,
280,נעמט,41,G,nɛmt,nemt,chezky-approved,,
281,קאר,41,E,kar,kar,chezky-approved,,
282,ארבעטן,40,G,ˈarbətn,arbetn,chezky-approved,,
283,"יו""ט",40,A,jˈɔntəf | jˈɔntif,yontef|yontif,chezky-approved,,
284,נאכן,40,G,nuxn,nukhn,chezky-verified,nuch-en,
285,קליינע,40,G,klˈajnə,klayne,chezky-approved,,
286,שיקן,40,G,ʃikn,shikn,chezky-approved,,
287,שעה,40,L,ʃu | ʃɔ,shu|sho,chezky-verified,shoo,
288,אייך,39,G,aːx | ajx,aakh|aykh,chezky-verified,aach,
289,איינס,39,G,ajns,ayns,chezky-approved,,
290,אימעיל,39,E,imˈejl | ˈɛmail,imeyl|email,chezky-verified,email,
291,בעסער,39,G,bˈɛsər,beser,chezky-approved,,
292,דאנק,39,G,dank,dank,chezky-approved,,
293,דערפון,39,G,dərfˈin | dərfˈun,derfin|derfun,chezky-approved,,
294,האסטו,39,G,hˈusti | hˈɔsti,husti|hosti,chezky-verified,host-e,paradigm uniform u
295,למשל,39,L,ləmˈuʃl,lemushl,chezky-verified,lemooshel,
296,מעגליך,39,G,mˈejɡləx | mˈɛɡləx,meyglekh|meglekh,chezky-verified,may-glich,
297,סיסטעם,39,E,sˈistəm,sistem,chezky-approved,,
298,סתם,39,L,stam,stam,chezky-verified,stam,
299,אונזער,38,G,ˈinzər | ˈindzər,inzer|indzer,chezky-approved,,
300,אנגעהויבן,38,G,ˈunɡəhɔjbn | ˈɔnɡəhɔjbn,ungehoybn|ongehoybn,chezky-verified,oon-gehoyben,
301,אראפ,38,G,arˈup | arˈɔp,arup|arop,chezky-verified,arup,
302,ביידע,38,G,bˈajdə,bayde,chezky-approved,,
303,גענומען,38,G,ɡənˈimən | ɡənˈumən,genimen|genumen,chezky-approved,,
304,וויליאמסבורג,38,E,vˈiljamsburɡ,vilyamsburg,chezky-verified,viliamsburg,
305,טוהן,38,G,tˈiən | tin,tien|tin,chezky-verified,teen,
306,טעקסט,38,E,tɛkst,tekst,chezky-approved,,
307,יתרו,38,L,jˈisrɔj | jˈisrɔ,yisroy|yisro,chezky-verified,yisroy,
308,סדר,38,L,sˈajdər | sˈejdər,sayder|seyder,chezky-verified,sayder,
309,סוף,38,L,sɔf | sɔjf,sof|soyf,chezky-verified,sof,
310,צווייטע,38,G,ʦvˈajtə,tsvayte,chezky-approved,,
311,אמעריקע,37,E,amˈɛrikə,amerike,chezky-approved,,
312,געוואלט,37,G,ɡəvˈɔlt | ɡəvˈald,gevolt|gevald,chezky-verified,gevaald,gevolt=wanted; gevald=exclamation
313,געוויסע,37,G,ɡəvˈisə,gevise,chezky-approved,,
314,הייליגע,37,G,hˈajliɡə,haylige,chezky-approved,,
315,טרעפן,37,G,trɛfn,trefn,chezky-approved,,
316,עם,37,L,ejm | am,eym|am,chezky-verified,aim,eym=Yiddish him; am=Hebrew
317,אפ,36,G,ɔp,op,chezky-verified,up,
318,בחורים,36,L,buxˈirim,bukhirim,chezky-verified,buchirim,
319,ביזנעס,36,E,bˈiznəs,biznes,chezky-approved,,
320,גאנץ,36,G,ɡanʦ,gants,chezky-approved,,
321,גוגל,36,E,ɡuɡl,gugl,chezky-verified,google,
322,גמרא,36,L,ɡəmˈurə,gemure,chezky-verified,gemoore,
323,גענוג,36,G,ɡənˈiɡ | ɡənˈuɡ,genig|genug,chezky-verified,genig,
324,געקומען,36,G,ɡəkˈimən,gekimen,chezky-approved,,
325,זי,36,G,zi,zi,chezky-approved,,
326,כמעט,36,L,kəmˈat | kimˈat,kemat|kimat,chezky-verified,ke-matt,
327,לייגן,36,G,lajɡn,laygn,chezky-approved,,
328,צאלן,36,G,ʦuln | ʦɔln,tsuln|tsoln,chezky-verified,tzoo-lin,
329,שטיין,36,G,ʃtajn,shtayn,chezky-approved,,
330,שיינע,36,G,ʃˈajnə,shayne,chezky-approved,,
331,בילדער,35,G,bˈildər,bilder,chezky-approved,,
332,דאן,35,G,dan,dan,chezky-approved,,
333,התורה,35,L,hatˈɔjrə,hatoyre,chezky-verified,hatoyre,
334,נישטא,35,G,niʃtˈu | niʃtˈɔ,nishtu|nishto,chezky-verified,nish-too,
335,ספרים,35,L,sfˈurim,sfurim,chezky-verified,sfoorim,
336,עלטערע,35,G,ˈɛltərə,eltere,chezky-approved,,
337,פיל,35,G,fil,fil,chezky-approved,,
338,צוליב,35,G,ʦilˈib | ʦˈulib,tsilib|tsulib,chezky-verified,tzilib,
339,אונטער,34,G,ˈintər | ˈuntər,inter|unter,chezky-approved,,
340,איהם,34,G,im,im,chezky-verified,aim,
341,אייוועלט,34,X,ˈivəlt,ivelt,chezky-verified,ivelt,
342,אייער,34,G,ˈaːjər | ˈajər,aayer|ayer,chezky-approved,,
343,בחור,34,L,bˈuxər | bˈuxir,bukher|bukhir,chezky-verified,buchir,
344,בילד,34,G,bild | bilt,bild|bilt,chezky-verified,bild,
345,ברוך,34,L,bˈurəx | bˈɔrux,burekh|borukh,chezky-verified,buoorich,
346,גיי,34,G,ɡaj,gay,chezky-verified,guy,
347,דערנאך,34,G,dərnˈux | dərnˈɔx,dernukh|dernokh,chezky-verified,dernuch,
348,הארץ,34,G,harʦ,harts,chezky-approved,,
349,חוץ,34,L,xiʦ | xuʦ,khits|khuts,chezky-approved,,
350,טייערע,34,G,tˈaːjərə | tˈajərə,taayere|tayere,chezky-approved,,
351,לאזט,34,G,lɔzt | luzt,lozt|luzt,chezky-verified,lozt,
352,ניין,34,G,najn | naːn,nayn|naan,chezky-verified,nine,"fast, clipped"
353,פלאן,34,E,plaːn | plan,plaan|plan,chezky-verified,plaan,
354,פרייז,34,G,praːz | prajz,praaz|prayz,chezky-verified,praaz,
355,קודם,34,L,kˈɔjdəm,koydem,chezky-verified,koy-dem,
356,קיינער,34,G,kˈajnər,kayner,chezky-approved,,
357,שטארקע,34,G,ʃtˈarkə,shtarke,chezky-approved,,
358,אברהם,33,N,ˈavrum | ˈavruhəm,avrum|avruhem,chezky-verified,avrum,
359,אוועק,33,G,avˈɛk,avek,chezky-verified,avec,
360,אנדערש,33,G,ˈandiʃ | ˈandərʃ,andish|andersh,chezky-verified,an-dish,coda r vocalized
361,ברענגט,33,G,brɛnɡt,brengt,chezky-approved,,
362,געקענט,33,G,ɡəkˈɛnt,gekent,chezky-approved,,
363,גרויס,33,G,ɡrɔjs,groys,chezky-verified,,rhymes with voice
364,דיך,33,G,dix,dikh,chezky-verified,dich,
365,ווייט,33,G,vaːt | vajt,vaat|vayt,chezky-approved,,
366,זעה,33,G,zej | zɛ,zey|ze,chezky-verified,bay,
367,ים,33,L,jam,yam,chezky-verified,yam,
368,ליידער,33,G,lˈajdər | lˈejdər,layder|leyder,chezky-approved,,
369,מוסדות,33,L,mˈɔjzdəs | mˈɔjsdəs,moyzdes|moysdes,chezky-verified,moy-zdes,
370,נאכט,33,G,naxt,nakht,chezky-approved,,
371,ניו,33,E,nju,nyu,chezky-verified,new,
372,פרשת,33,L,pˈarʃis | pˈarʃəs,parshis|parshes,chezky-verified,parshis,
373,קאמפיין,33,E,kɔmpˈajn | kampˈejn,kompayn|kampeyn,chezky-verified,comp-ine,
374,שמועס,33,G,ʃmˈiəs | ʃmˈuəs,shmies|shmues,chezky-verified,shmees,
375,אגב,32,L,ˈaɡav | ˈaɡəv,agav|agev,chezky-verified,agav,
376,בעטן,32,G,bejtn | bɛtn,beytn|betn,chezky-verified,bay-tin,
377,גרייט,32,G,ɡrajt,grayt,chezky-approved,,
